id,branch,student count,verified student count,unverified student count
1025,PRODUCTION ENGINEERING (FULL TIME),92,84,8
1026,METALLURGY (FULL TIME),106,106,0
1027,MARINE ENGINEERING (FULL TIME),288,80,208
1028,AGRICULTURAL ENGINEERING AND FARM EQUIPMENT TECHNOLOGY,0,0,0
1029,MECHANICAL ENGG DESIGN AND DRAFTING (FULL TIME),3,3,0
1030,ELECTRICAL AND ELECTRONICS ENGINEERING (FULL TIME),29369,7044,22325
1031,ELECTRICAL ENGINEERING (INSTRUMENTS AND CONTROL) (FULL TIME),3,3,0
1040,ELECTRONICS AND COMMUNICATION ENGINEERING (FULL TIME),11333,3479,7854
60,B.Tech. Chemical Engineering,832,625,207
61,B.E. Computer Science and Engineering,8904,4187,4717
62,B.E. Mechanical Engineering,5197,2327,2870
63,B.E. Civil Engineering (Tamil Medium),90,90,0
1041,ELECTRONICS AND INSTRUMENTATION ENGINEERING (FULL TIME),50,38,12
35,B.E. Computer Science and Engineering,10442,9759,683
64,B.E. Civil Engineering (Part Time),1,1,0
36,B.E. Electronics and Communication Engineering,2108,1851,257
65,B.E. Electrical and Electronics Engineering,3861,1811,2050
1042,INSTRUMENTATION AND CONTROL ENGINEERING (FULL TIME),464,216,248
37,B.Tech. Information Technology,18945,10827,8118
66,B.Tech. Chemical Engineering,551,400,151
38,B.E. Electronics and Communication Engineering (Part Time),2,2,0
67,B.E. Mechanical Engineering (Sandwich),0,0,0
1043,ELECTRONICS ENGINEERING (INSTRUMENTATION) (FULL TIME),0,0,0
39,B.E. Computer Science and Engineering (Tamil Medium),0,0,0
68,B.E. Electronics and Communication Engineering,11588,7041,4547
40,B.E. Computer Science and Engineering (Part Time),0,0,0
41,,1,1,0
1044,INSTRUMENTATION TECHNOLOGY (FULL TIME),0,0,0
42,B.E. Civil Engineering,4435,3669,766
43,All,23,23,0
44,B.E. Mechanical Engineering,7026,6409,617
45,B.E. Aeronautical Engineering,647,517,130
46,B.E. Automobile Engineering,272,237,35
47,B.E. Mechanical and Automation Engineering,20,19,1
48,B.E. Mechanical Engineering (Sandwich),10,10,0
49,B.E. Industrial Engineering,83,83,0
50,B.E. Aerospace Engineering,0,0,0
51,B.E. Mechanical Engineering (Tamil Medium),101,86,15
52,B.E. Mechanical Engineering (Part Time),0,0,0
53,B.E. Marine Engineering,30,30,0
54,B.E. Robotics and Automation,216,100,116
55,B.E. Mechatronics Engineering,612,186,426
56,B.E. Manufacturing Engineering,248,248,0
57,B.E. Electrical and Electronics Engineering,4088,3700,388
58,B.E. Electronics and Instrumentation Engineering,372,313,59
59,B.E. Electrical and Electronics Engineering (Part Time),0,0,0
1000,BASIC ENGINEERING,304,304,0
1010,CIVIL ENGINEERING (FULL TIME),7124,1989,5135
1011,CIVIL ENGINEERING (ARCHITECTURE) (FULL TIME),9,9,0
1012,ARCHITECTURAL ASSISTANTSHIP (FULL TIME),75,22,53
1013,CIVIL AND ENVIRONMENTAL ENGINEERING,2,0,2
1020,MECHANICAL ENGINEERING (FULL TIME),40786,8572,32214
1021,AUTOMOBILE ENGINEERING (FULL TIME),4191,1115,3076
1022,TOOL ENGINEERING (FULL TIME),0,0,0
1023,AGRICULTURAL ENGINEERING (FULL TIME),503,181,322
1045,ELECTRONICS (WSI) (FULL TIME),0,0,0
1046,INFORMATION TECHNOLOGY (FULL TIME),603,106,497
1047,MECHATRONICS ENGINEERING (FULL TIME),490,14,476
1048,ENVIRONMENTAL ENGINEERING AND POLLUTION CONTROL (FULL TIME),0,0,0
1049,ELECTRONICS (ROBOTICS) (FULL TIME),167,106,61
1024,REFRIGERATION AND AIR-CONDITIONING (FULL TIME),0,0,0
1050,COMPUTER TECHNOLOGY (FULL TIME),17,17,0
1051,COMPUTER SCIENCE AND ENGINEERING (FULL TIME),841,114,727
1052,COMPUTER ENGINEERING (FULL TIME),10866,2877,7989
1053,COMPUTER NETWORKING (FULL TIME),1,1,0
1054,3D ANIMATION AND GRAPHICS,25,23,2
1055,COMMUNICATION AND COMPUTER NETWORKING,7,0,7
1056,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,174,60,114
1060,TEXTILE TECHNOLOGY (FULL TIME),360,164,196
1061,TEXTILE PROCESSING (FULL TIME),141,89,52
1062,MAN MADE FIBRE TECHNOLOGY (FULL TIME),0,0,0
1063,TEXTILE DESIGNING AND WEAVING (FULL TIME),0,0,0
1064,TEXTILE MARKETING AND MANAGEMENT (FULL TIME),8,8,0
1065,TEXTILE ENGINEERING (FULL TIME),0,0,0
1066,GARMENT TECHNOLOGY (FULL TIME),370,221,149
1067,KNITTING TECHNOLOGY (FULL TIME),0,0,0
1068,TEXTILE TECHNOLOGY (KNITTING) (FULL TIME),19,0,19
1069,APPAREL TECHNOLOGY,0,0,0
1070,CHEMICAL TECHNOLOGY (FULL TIME),12,0,12
1071,PETRO-CHEMICAL TECHNOLOGY (FULL TIME),0,0,0
1072,PETROLEUM ENGINEERING (FULL TIME),3,3,0
1073,PLASTIC TECHNOLOGY (FULL TIME),58,58,0
1074,SUGAR TECHNOLOGY (FULL TIME),23,23,0
1075,PETROCHEMICAL ENGINEERING (FULL TIME),519,83,436
