id,college,college_code,student count,verified student count,unverified student count
978,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,8201,305,305,0
1794,"College Of Engineering,Guindy Campus",001,2527,2527,0
1319,INSTITUTE OF TEXTILE TECHNOLOGY,105,79,79,0
917,KONGU ENGINEERING COLLEGE,7378,5133,5132,0
672,Pallavan College of Engineering,5117,195,195,0
1066,Theni Kammavar Sangam College of Technology,9222,391,391,0
607,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,4114,485,485,0
1151,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",9628,1122,1122,0
943,MAHALAKSHMI ENGINEERING COLLEGE,8125,222,222,0
1128,CAPE INSTITUTE OF TECHNOLOGY,9605,888,456,432
700,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,6108,967,966,0
720,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,6128,558,556,0
1025,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,9117,812,812,0
1067,"UNIVERSITY COLLEGE OF ENGINEERING, DINDIGUL",9223,458,458,0
753,PAAVAI ENGINEERING COLLEGE,6221,2686,2686,0
1027,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,9119,87,80,7
1317,INSTITUTE OF CHEMICAL TECHNOLOGY,103,238,0,237
609,Prince Dr.K.Vasudevan College of Engineering and Technology,4116,252,252,0
487,Sri Ram Engineering College,1115,0,0,0
870,"Arjun College of Technology , Coimbatore ",7239,449,449,0
1321,T P E V R GOVERNMENT POLYTECHNIC COLLEGE,109,762,0,762
1320,STATE INSTITUTE OF COMMERCE EDUCATION,106,45,0,45
1316,INSTITUTE OF PRINTING TECHNOLOGY,102,168,168,0
571,MEENAKSHI COLLEGE OF ENGINEERING,3114,868,0,868
1020,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,9112,430,430,0
913,JAIRUPAA COLLEGE OF ENGINEERING,7333,112,110,2
1059,R.V.S. College of Engineering,9215,334,334,0
1323,GOVERNMENT POLYTECHNIC COLLEGE,111,835,721,113
887,Excel college of Engineering and Technology ,7307,163,162,0
1795,"Madras Institute of Technology, Anna University",004,1983,1093,890
993,Prime College of Architecture & Planning ,8215,65,65,0
961,"Sudharsan Engineering College,Pudukkottai",8144,259,259,0
1090,EINSTEIN COLLEGE OF ENGINEERING,9506,570,570,0
1333,GOVERNMENT POLYTECHNIC COLLEGE,123,309,306,3
1337,GOVERNMENT POLYTECHNIC COLLEGE,127,405,0,405
636,Quannta school of software engineering,4210,0,0,0
1322,GOVERNMENT POLYTECHNIC COLLEGE,110,536,0,536
1324,GOVERNMENT POLYTECHNIC COLLEGE,112,234,0,234
1325,GOVERNMENT POLYTECHNIC COLLEGE,113,500,0,500
1155,"PET ENGINEERING COLLEGE, VALLIOOR",9632,507,507,0
1328,GOVERNMENT POLYTECHNIC COLLEGE,118,700,0,700
1329,GOVERNMENT POLYTECHNIC COLLEGE,119,800,800,0
918,"University College of Engineering, BIT Campus, Trichy",8100,2627,2627,0
1336,GOVERNMENT POLYTECHNIC COLLEGE,126,234,0,234
1330,GOVERNMENT POLYTECHNIC COLLEGE,120,219,0,219
1331,GOVERNMENT POLYTECHNIC COLLEGE,121,282,0,282
1334,GOVERNMENT POLYTECHNIC COLLEGE,124,289,73,216
1335,GOVERNMENT POLYTECHNIC COLLEGE,125,301,0,301
1327,ALAGAPPA POLYTECHNIC COLLEGE,117,990,765,225
627,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,4201,696,695,0
1350,GOVERNMENT POLYTECHNIC COLLEGE,140,347,324,23
1362,B C M  WOMENS POLYTECHNIC COLLEGE,178,218,0,218
1341,GOVERNMENT POLYTECHNIC COLLEGE,131,502,1,501
1360,GOVERNMENT POLYTECHNIC COLLEGE FOR WOMEN,176,325,325,0
1343,GOVERNMENT POLYTECHNIC COLLEGE,133,259,0,259
1351,GOVERNMENT POLYTECHNIC COLLEGE,141,272,0,272
1344,GOVERNMENT POLYTECHNIC COLLEGE,134,353,0,353
1355,GOVERNMENT POLYTECHNIC COLLEGE,145,563,480,83
1796,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),1130,1510,0,1510
1354,GOVERNMENT POLYTECHNIC COLLEGE,144,491,0,491
1348,GOVERNMENT POLYTECHNIC COLLEGE,138,211,0,211
1357,GOVERNMENT POLYTECHNIC COLLEGE,147,458,458,0
1345,GOVERNMENT POLYTECHNIC COLLEGE,135,394,0,394
1356,GOVERNMENT POLYTECHNIC COLLEGE,146,178,178,0
1352,GOVERNMENT POLYTECHNIC COLLEGE,142,364,0,364
1339,GOVERNMENT POLYTECHNIC COLLEGE,129,221,0,221
1358,GOVERNMENT POLYTECHNIC COLLEGE,148,283,0,283
1340,GOVERNMENT POLYTECHNIC COLLEGE,130,362,0,362
1353,GOVERNMENT POLYTECHNIC COLLEGE,143,487,0,487
915,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,7376,5321,0,5320
1346,GOVERNMENT POLYTECHNIC COLLEGE,136,384,0,384
1361,GOVERNMENT POLYTECHNIC COLLEGE FOR WOMEN,177,229,0,229
1363,P T LEE CHENGALVARAYA NAICKER POLYTECHNIC COLLEGE,201,865,0,865
1347,GOVERNMENT POLYTECHNIC COLLEGE,137,384,0,384
1365,BAKTHAVATSALAM POLYTECHNIC COLLEGE,204,875,838,37
1390,ADHIPARASAKTHI POLYTECHNIC COLLEGE,304,382,0,382
1792,Demo College 2,1234567,10,10,0
1367,RAJAGOPAL POLYTECHNIC COLLEGE,207,716,0,716
1368,MUTHIAH POLYTECHNIC COLLEGE,208,546,0,546
1370,SRI KRISHNA POLYTECHNIC COLLEGE,213,380,0,380
1372,SAKTHI POLYTECHNIC COLLEGE,215,653,642,11
1374,SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE,218,792,180,612
1384,G R G POLYTECHNIC COLLEGE ,275,140,140,0
1379,ANNAMALAI POLYTECHNIC COLLEGE,224,563,557,4
1375,VALIVALAM DESIKAR POLYTECHNIC COLLEGE,219,386,0,386
1383,N P A CENTENARY POLYTECHNIC COLLEGE,231,166,166,0
1366,A M K TECHNOLOGICAL POLYTECHNIC COLLEGE,205,205,0,205
1380,MOHAMMED SATHAK POLYTECHNIC COLLEGE,227,493,0,493
1381,ARASAN GANESAN POLYTECHNIC COLLEGE,228,449,0,449
1376,PATTUKKOTTAI POLYTECHNIC COLLEGE,220,336,0,336
1371,E I T POLYTECHNIC COLLEGE,214,199,0,199
1386,A D J DHARMAMBAL POLYTECHNIC COLLEGE,280,184,0,184
1377,ARULMIGU PALANIANDAVAR POLYTECHNIC COLLEGE,222,470,443,25
1373,S S M POLYTECHNIC COLLEGE,217,306,306,0
944,M.A.M College of Engineering,8126,878,867,11
1387,V RAMAKRISHNA POLYTECHNIC COLLEGE,301,475,131,344
1388,MEENAKSHI AMMAL POLYTECHNIC COLLEGE,302,318,0,318
1395,SWAMY ABEDHANANDHA POLYTECHNIC COLLEGE,311,395,0,394
1389,SRI NALLALAGHU POLYTECHNIC COLLEGE,303,419,0,419
1382,KAMARAJ POLYTECHNIC COLLEGE,230,421,0,421
1413,C C M RAMAKRISHNA POLYTECHNIC COLLEGE,334,34,0,34
1410,SUBRAMANIAN POLYTECHNIC COLLEGE,331,186,186,0
1405,ANNAI J K K SAMPOORANI AMMAL POLYTECHNIC COLLEGE,325,372,0,372
1398,SANKARA POLYTECHNIC COLLEGE,315,461,0,461
1417,K L NAGASWAMY MEMORIAL POLYTECHNIC COLLEGE,340,409,0,409
1414,THE KARUR POLYTECHNIC COLLEGE,335,138,0,138
1401,NANJAPPA  POLYTECHNIC COLLEGE,319,54,0,54
1402,KONGU POLYTECHNIC COLLEGE,320,802,0,802
1403,THIRU RAMAKRISHNA NALLAMMAI POLYTECHNIC COLLEGE,323,40,0,40
1396,PANDIYAN POLYTECHNIC COLLEGE,312,85,0,85
1138,MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY,9615,335,335,0
1400,NANJIAH LINGAMMAL POLYTECHNIC COLLEGE,318,407,407,0
1416,M I E T POLYTECHNIC COLLEGE,337,567,228,339
1407,MUTHAYAMMAL POLYTECHNIC COLLEGE,327,656,46,610
1404,AL-AMEEN POLYTECHNIC COLLEGE,324,285,259,26
1411,A V C C POLYTECHNIC COLLEGE,332,311,0,311
1412,SHANMUGA POLYTECHNIC COLLEGE,333,203,0,203
1423,ARULMIGU KALASALINGAM POLYTECHNIC COLLEGE,347,193,0,193
1409,C S I POLYTECHNIC COLLEGE,329,580,178,341
1399,SREE NARAYANAGURU POLYTECHNIC COLLEGE,317,266,181,85
1418,RATHINAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,341,191,0,191
1419,THE CHRISTIAN INST. FOR TECH EDN POLYTECH COLLEGE,342,320,0,320
1420,THANGAM-MUTHU POLYTECHNIC COLLEGE,343,45,0,45
1421,THANAPANDIYAN POLYTECHNIC COLLEGE,345,128,0,128
1422,SEIKALATHUR KAMATCHIAMMAN POLYTECHNIC COLLEGE,346,23,0,23
1424,RAMU SEETHA POLYTECHNIC COLLEGE,348,4,0,4
1438,SRINIVASA POLYTECHNIC COLLEGE,363,261,0,261
1428,LAKSHMIAMMAL POLYTECHNIC COLLEGE,352,445,445,0
1455,ADHIYAMAAN POLYTECHNIC COLLEGE,382,454,169,285
1446,PANIMALAR POLYTECHNIC COLLEGE,372,404,0,404
1443,KALAIVANAR N S K POLYTECHNIC COLLEGE,368,113,0,113
1435,THAI MOOGAMBIGAI POLYTECHNIC COLLEGE,359,247,0,247
1447,THIRU SEVEN HILLS POLYTECHNIC COLLEGE,373,149,0,149
1432,MORNING STAR POLYTECHNIC COLLEGE,356,292,0,292
1433,NOORUL ISLAM POLYTECHNIC COLLEGE,357,151,0,151
1434,SRI VENKATESWARA POLYTECHNIC COLLEGE,358,596,0,596
1408,K S RENGASAMY INSTITUTE OF TECHNOLOGY,328,358,0,358
1437,RAJAJI INSTITUTE OF TECHNOLOGY,362,44,0,44
1442,MSP VELAYUTHANADAR LAKSHMITHAIAMMAL  POLY.COLLEGE,367,602,0,602
1439,G M S  M A V M M POLYTECHNIC COLLEGE,364,280,0,280
1440,PARK AMC POLYTECHNIC COLLEGE,365,25,0,25
1441,ARULMIGU SENTHILANDAVAR POLYTECHNIC COLLEGE,366,307,0,307
1454,SREE KRISHNA POLYTECHNIC COLLEGE,381,185,0,185
1452,I R T POLYTECHNIC COLLEGE,379,256,155,101
1444,PALLAVAN POLYTECHNIC COLLEGE,370,114,0,114
1430,GOMATHI AMBAL POLYTECHNIC COLLEGE,354,32,0,32
1429,S A RAJA'S POLYTECHNIC COLLEGE,353,72,72,0
1449,MODERATOR GNANADASAN POLYTECHNIC COLLEGE,375,151,112,39
1426,SRI SOWDAMBIKA POLYTECHNIC COLLEGE,350,490,280,210
1450,N A MANJAMMAL POLYTECHNIC COLLEGE,377,121,121,0
843,"STUDY WORLD COLLEGE OF ENGINEERING, COIMBATORE",7211,233,233,0
889,EXCEL ENGINEERING COLLEGE,7309,2187,2,2185
1458,SRI BALAJI POLYTECHNIC COLLEGE,385,311,311,0
1048,Kamaraj College of Engineering and Technology ,9204,2615,1309,1306
1453,I R T POLYTECHNIC COLLEGE,380,293,293,0
867,"Pollachi institute of engineering and technology, pollachi",7236,314,314,0
846,Nehru Institute of Information Technology and Management ,7215,0,0,0
897,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,7317,344,269,75
886,EXCEL COLLEGE OF ARCHITECTURE AND PLANNING,7306,88,88,0
895,K.S.R. COLLEGE OF ENGINEERING,7315,1600,1600,0
882,Al ameen Engineering College (Autonomous),7302,480,424,56
927,Holy Angels School of Business,8109,1,0,0
852,SVS School of Architecture,7221,49,49,0
900,MAHARAJA PRITHVI ENGINEERING COLLEGE,7320,0,0,0
899,MAHARAJA ENGINEERING COLLEGE FOR WOMEN,7319,0,0,0
898,MAHARAJA ENGINEERING COLLEGE,7318,0,0,0
1460,SRI KRISHNA POLYTECHNIC COLLEGE,387,255,0,255
1461,RANIPET INSTITUTE OF TECHNOLOGY,388,70,0,70
894,J.K.K.MUNIRAJAH SCHOOL OF ARCHITECTURE,7314,0,0,0
1466,HIET POLYTECHNIC COLLEGE,409,188,0,188
890,GEM BUSINESS ACADEMY,7310,0,0,0
1465,SIGA POLYTECHNIC COLLEGE,408,119,113,6
1464,INSTITUTE OF CERAMIC TECHNOLOGY,405,97,0,97
1467,S M P A INSTITUTE OF PRINTING TECHNOLOGY,410,102,0,102
1457,VIGNESH POLYTECHNIC COLLEGE,384,144,0,144
1459,DR M G R POLYTECHNIC COLLEGE,386,326,0,326
888,EXCEL COLLEGE OF TECHNOLOGY,7308,0,0,0
1473,JAYARAJ ANNAPACKIAM C S I POLYTECHNIC COLLEGE,501,481,0,480
821,Asian College of Engineering and Technology ,7153,542,541,1
1481,RUDHRAVENI MUTHUSAMY POLYTECHNIC COLLEGE,510,185,167,18
1468,INSTITUTE OF TOOL ENGINEERING,413,81,81,0
1480,ER. PERUMAL MANIMEKALAI POLYTECHNIC COLLEGE,509,745,728,17
1482,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,511,517,1,516
656,Adhiparasakthi College of Engineering,5101,309,309,0
734,Annai mathammal sheela Engineering college ,6202,423,422,0
1793,Demo college,123456789,0,0,0
522,Arignar Anna institute of science and technology ,2103,193,0,193
1484,LATHA MATHAVAN POLYTECHNIC COLLEGE,513,189,0,189
1074,"Arulmurugan College Of Engineering, Karur",9230,125,124,0
1478,PRIYADARSHINI POLYTECHNIC COLLEGE,507,327,0,327
769,"Anna University, Regional Campus Coimbatore",7100,590,587,0
505,Annai Veilankanni's college of Engineering,1133,1001,997,3
509,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY ,1137,131,0,131
1475,S A POLYTECHNIC COLLEGE,503,323,0,323
1488,KRISHNASAMY MEMORIAL POLYTECHNIC COLLEGE,517,337,107,230
1479,MARUTHI POLYTECHNIC COLLEGE,508,326,0,326
1474,SRI SAIRAM POLYTECHNIC COLLEGE,502,432,0,432
1477,KUMARAN POLYTECHNIC COLLEGE,506,251,0,251
1487,VENKATESWARA POLYTECHNIC COLLEGE,516,183,0,183
1483,SRI VENKATESWARA POLYTECHNIC COLLEGE,512,270,0,270
1496,SEMBODAI R V POLYTECHNIC COLLEGE,528,123,0,123
599,Dhaanish Ahmed College of Engineering ,4106,577,576,0
1501,RAJADESINGH POLYTECHNIC COLLEGE,535,399,0,399
871,"DHAANISH AHMED INSTITUTE OF TECHNOLOGY,COIMBATORE",7240,438,438,0
1006,Government College of Engineering Srirangam ,8301,781,779,0
1092,Government College of Engineering,9508,1229,1228,0
519,Jaya School of Architecture ,1201,0,0,0
1489,SCAD GRAMODHAYA POLYTECHNIC COLLEGE,519,494,494,0
779,Jansons Institute of Technology ,7111,736,736,0
1012,Fatima Michael College of engineering and technology ,9104,282,282,0
