college_id,college_code,college_name
720,6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY
846,7215,Nehru Institute of Information Technology and Management 
1025,9117,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY
1067,9223,"UNIVERSITY COLLEGE OF ENGINEERING, DINDIGUL"
607,4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY
1128,9605,CAPE INSTITUTE OF TECHNOLOGY
1319,105,INSTITUTE OF TEXTILE TECHNOLOGY
672,5117,Pallavan College of Engineering
753,6221,PAAVAI ENGINEERING COLLEGE
609,4116,Prince Dr.K.Vasudevan College of Engineering and Technology
1798,2,Alagappa college of technology anna university
870,7239,"Arjun College of Technology , Coimbatore "
487,1115,R M D Engineering College (Autonomous)
978,8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY
1066,9222,Theni Kammavar Sangam College of Technology
1151,9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL"
1317,103,INSTITUTE OF CHEMICAL TECHNOLOGY
943,8125,MAHALAKSHMI ENGINEERING COLLEGE
1321,109,T P E V R GOVERNMENT POLYTECHNIC COLLEGE
1320,106,STATE INSTITUTE OF COMMERCE EDUCATION
1316,102,INSTITUTE OF PRINTING TECHNOLOGY
993,8215,Prime College of Architecture & Planning 
918,8100,"University College of Engineering, BIT Campus, Trichy"
961,8144,"Sudharsan Engineering College,Pudukkottai"
533,2114,PANIMALAR ENGINEERING COLLEGE
1059,9215,R.V.S. College of Engineering
913,7333,JAIRUPAA COLLEGE OF ENGINEERING
1090,9506,EINSTEIN COLLEGE OF ENGINEERING
1323,111,GOVERNMENT POLYTECHNIC COLLEGE
636,4210,Quannta school of software engineering
1333,123,GOVERNMENT POLYTECHNIC COLLEGE
1337,127,GOVERNMENT POLYTECHNIC COLLEGE
1322,110,GOVERNMENT POLYTECHNIC COLLEGE
1324,112,GOVERNMENT POLYTECHNIC COLLEGE
1325,113,GOVERNMENT POLYTECHNIC COLLEGE
1328,118,GOVERNMENT POLYTECHNIC COLLEGE
1329,119,GOVERNMENT POLYTECHNIC COLLEGE
1336,126,GOVERNMENT POLYTECHNIC COLLEGE
1330,120,GOVERNMENT POLYTECHNIC COLLEGE
1331,121,GOVERNMENT POLYTECHNIC COLLEGE
1334,124,GOVERNMENT POLYTECHNIC COLLEGE
1335,125,GOVERNMENT POLYTECHNIC COLLEGE
1327,117,ALAGAPPA POLYTECHNIC COLLEGE
1796,1130,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution)
1350,140,GOVERNMENT POLYTECHNIC COLLEGE
