4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,497
9222,Theni Kammavar Sangam College of Technology,552
4118,RRASE COLLEGE OF ENGINEERING,691
8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,470
7378,KONGU ENGINEERING COLLEGE,0
3114,MEENAKSHI COLLEGE OF ENGINEERING,853
9632,PET ENGINEERING COLLEGE, VALLIOOR,782
9506,EINSTEIN COLLEGE OF ENGINEERING,847
4201,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,937
4,Madras Institute of Technology, Anna University,0
9112,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,872
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,639
7315,K.S.R. COLLEGE OF ENGINEERING,0
9501,A.R. COLLEGE OF ENGINEERING AND TECHNOLOGY,27
4103,ARM COLLEGE OF ENGINEERING AND TECHNOLOGY,70
4107,DHANALAKSHMI COLLEGE OF ENGINEERING,880
6202,Annai mathammal sheela Engineering college ,446
9230,Arulmurugan College Of Engineering, Karur,221
9104,Fatima Michael College of engineering and technology ,334
4115,PERI INSTITUTE OF TECHNOLOGY,1144
4117,PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE,568
4120,Sri Krishna Engineering College,43
4129,VI INSTITUTE OF TECHNOLOGY,166
1114,Prathyusha engineering college,0
4204,ADHIPARASAKTHI ENGINEERING COLLEGE,902
9532,UNIVERSITY COLLEGE OF ENGINEERING, THOOTHUKUDI,409
5132,THIRUMALAI ENGINEERING COLLEGE,596
794,VIGNESHWARA POLYTECHNIC COLLEGE,0
8131,Pavendar Bharathidasan College of Engineering and Technology,144
9513,Jayaraj Annapackiam CSI College of Engineering,637
1,College Of Engineering,Guindy Campus,0
212,NACHIMUTHU POLYTECHNIC COLLEGE,0
8107,CARE College of Engineering,324
8155,SURYA COLLEGE OF ENGINEERING,346
8146,TRICHY ENGINEERING COLLEGE,476
8121,M.A.M. SCHOOL OF ENGINEERING,578
3107,Jawahar Engineering College,3
