name,branch id,New branch ID
B.E Computer Science and Engineering,80,61
B.E Electrical and Electronics Engineering,82,65
B.E. Bio Medical Engineering,137,79
B.E. Civil Engineering,42,84
B.E. Electrical and Electronics Engineering.,57,65
B.E. Electronics and Communication Engineering,36,81
B.E. Geoinformatics Engineering,143,129
B.E. Mechanical and Automation Engineering,47,7013
B.E. Mechanical Engineering,62,83
B.E. Mechanical Engineering (Sandwich),67,120
B.E. Medical Electronics,146,97
B.Tech. Bio Technology,138,99
B.Tech. Computer Science and Business Systems,7006,134
