id,branch,
36,B.E. Electronics and Communication Engineering,Engineering
37,B.Tech. Information Technology,Engineering
39,B.E. Computer Science and Engineering (Tamil Medium),Engineering
42,B.E. Civil Engineering,Engineering
47,B.E. Mechanical and Automation Engineering,Engineering
49,B.E. Industrial Engineering,Engineering
51,B.E. Mechanical Engineering (Tamil Medium),Engineering
53,B.E. Marine Engineering,Engineering
56,B.E. Manufacturing Engineering,Engineering
57,B.E. Electrical and Electronics Engineering.,Engineering
60,B.Tech. Chemical Engineering,Engineering
61,B.E. Computer Science and Engineering,Engineering
62,B.E. Mechanical Engineering,Engineering
63,B.E. Civil Engineering (Tamil Medium),Engineering
65,B.E. Electrical and Electronics Engineering,Engineering
67,B.E. Mechanical Engineering (Sandwich),Engineering
75,B.Arch Architecture,Engineering
79,B.E Biomedical Engineering,Engineering
80,B.E Computer Science and Engineering,Engineering
81,B.E Electronics and Communication Engineering,Engineering
82,B.E Electrical and Electronics Engineering,Engineering
83,B.E Mechanical Engineering,Engineering
84,B.E Civil Engineering,Engineering
85,B.E Computer Science and Business Systems,Engineering
86,B.Tech. Artificial Intelligence and Data Science,Engineering
87,B.E Robotics and Automation Engineering,Engineering
88,B.E Agriculture Engineering,Engineering
89,B.E Chemical Engineering,Engineering
90,B.Tech. Artificial Intelligence and Machine Learning,Engineering
91,B.E Electronics and Instrumenataion Engineering,Engineering
93,B.E Automobile Engineering,Engineering
96,B.E Computer Science and Engineering (CyberSecurity),Engineering
97,B.E Medical Electronics Engineering,Engineering
98,B.E Mechatronics Engineering,Engineering
99,B.Tech. Biotechnology,Engineering
100,B.E Aeronautical Engineering,Engineering
101,B.Tech. Fashion Technology,Engineering
102,B.E Information Science and Engineering,Engineering
103,B.Tech. Textile Technology,Engineering
104,B.Tech. Pharmaceutical Technology,Engineering
105,B.Tech. Agriculture Engineering,Engineering
106,B.E Nanoscience and Technology,Engineering
107,B.E Computer Science and Design,Engineering
108,B.E Instrumentation and Control Engineering,Engineering
109,B.E Power System Engineering,Engineering
110,B.E Computer Science and Technology,Engineering
111,B.E Structural Engineering,Engineering
112,B.Tech Computer Science and Technology,Engineering
113,B.E Computer Science and Engineering (IOT & CS including BCT),Engineering
114,B.E Mechanical and Mechatronics,Engineering
115,B.E Electronics and Telecommunications Engineering,Engineering
116,B.E Metallurgical Engineering,Engineering
117,B.E Production Engineering,Engineering
118,B.Tech. Textile Technology (Part Time),Engineering
119,B.E Electrical and Electronics Engineering (Sandwich),Engineering
120,B.E Mechanical Engineering (Sandwich),Engineering
121,B.E Production Engineering (Sandwich),Engineering
123,B.E Computer and Communication Engineering,Engineering
124,B.Tech Computer Technology,Engineering
125,B.E Aerospace Engineering,Engineering
126,B.E Printing And Packaging Technology,Engineering
127,B.E Mining Engineering,Engineering
128,B.E Materials Science And Engineering,Engineering
129,B.E GEOINFORMATICS,Engineering
130,B.Tech Rubber And Plastics Technology,Engineering
131,B.Tech. Petrochemical Technology,Engineering
132,B.E Safety and Fire Engineering,Engineering
133,B.Tech Industrial Biotechnology,Engineering
134,B.Tech. Computer Science and Business System,Engineering
137,B.E. Bio Medical Engineering,Engineering
138,B.Tech. Bio Technology,Engineering
142,B.Tech. Petroleum Engineering,Engineering
143,B.E. Geoinformatics Engineering,Engineering
144,B.Tech. Biotechnology and Biochemical Engineering,Engineering
145,B.E. Petrochemical Engineering,Engineering
146,B.E. Medical Electronics,Engineering
148,B.E. Industrial Engineering and Management,Engineering
149,B.Tech. Textile Chemistry,Engineering
150,B.Tech. Handloom and Textile Technology,Engineering
151,B.Tech. Chemical and Electrochemical Engineering,Engineering
154,B.Tech. Plastics Technology,Engineering
155,B.E. Environmental Engineering,Engineering
1000,BASIC ENGINEERING,Polytechnic
1010,CIVIL ENGINEERING (FULL TIME),Polytechnic
1011,CIVIL ENGINEERING (ARCHITECTURE) (FULL TIME),Polytechnic
1012,ARCHITECTURAL ASSISTANTSHIP (FULL TIME),Polytechnic
1013,CIVIL AND ENVIRONMENTAL ENGINEERING,Polytechnic
1020,MECHANICAL ENGINEERING (FULL TIME),Polytechnic
1021,AUTOMOBILE ENGINEERING (FULL TIME),Polytechnic
1022,TOOL ENGINEERING (FULL TIME),Polytechnic
1023,AGRICULTURAL ENGINEERING (FULL TIME),Polytechnic
1024,REFRIGERATION AND AIR-CONDITIONING (FULL TIME),Polytechnic
1025,PRODUCTION ENGINEERING (FULL TIME),Polytechnic
1026,METALLURGY (FULL TIME),Polytechnic
1027,MARINE ENGINEERING (FULL TIME),Polytechnic
1028,AGRICULTURAL ENGINEERING AND FARM EQUIPMENT TECHNOLOGY,Polytechnic
1029,MECHANICAL ENGG DESIGN AND DRAFTING (FULL TIME),Polytechnic
1030,ELECTRICAL AND ELECTRONICS ENGINEERING (FULL TIME),Polytechnic
1031,ELECTRICAL ENGINEERING (INSTRUMENTS AND CONTROL) (FULL TIME),Polytechnic
1040,ELECTRONICS AND COMMUNICATION ENGINEERING (FULL TIME),Polytechnic
1041,ELECTRONICS AND INSTRUMENTATION ENGINEERING (FULL TIME),Polytechnic
1042,INSTRUMENTATION AND CONTROL ENGINEERING (FULL TIME),Polytechnic
1043,ELECTRONICS ENGINEERING (INSTRUMENTATION) (FULL TIME),Polytechnic
1044,INSTRUMENTATION TECHNOLOGY (FULL TIME),Polytechnic
1045,ELECTRONICS (WSI) (FULL TIME),Polytechnic
1046,INFORMATION TECHNOLOGY (FULL TIME),Polytechnic
