id,college code,college code,college type
978,8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING
1319,105,INSTITUTE OF TEXTILE TECHNOLOGY,POLYTECHNIC
672,5117,Pallavan College of Engineering,ENGINEERING
1066,9222,Theni Kammavar Sangam College of Technology,ENGINEERING
473,1101,Aalim Muhammed Salegh College Of Engineering,ENGINEERING
1151,9628,UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL,ENGINEERING
917,7378,KONGU ENGINEERING COLLEGE,ENGINEERING
1128,9605,CAPE INSTITUTE OF TECHNOLOGY,ENGINEERING
563,3107,Jawahar Engineering College,ENGINEERING
700,6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,ENGINEERING
720,6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,ENGINEERING
503,1131,Veltech Multitech Dr. Rangarajan Dr. Sakunthala Engineering College,ENGINEERING
607,4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING
609,4116,Prince Dr.K.Vasudevan College of Engineering and Technology,ENGINEERING
1067,9223,UNIVERSITY COLLEGE OF ENGINEERING, DINDIGUL,ENGINEERING
753,6221,PAAVAI ENGINEERING COLLEGE,ENGINEERING
1025,9117,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING
1027,9119,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING
1317,103,INSTITUTE OF CHEMICAL TECHNOLOGY,POLYTECHNIC
487,1115,Sri Ram Engineering College,ENGINEERING
943,8125,MAHALAKSHMI ENGINEERING COLLEGE,ENGINEERING
870,7239,Arjun College of Technology , Coimbatore ,ENGINEERING
1321,109,T P E V R GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1320,106,STATE INSTITUTE OF COMMERCE EDUCATION,POLYTECHNIC
1316,102,INSTITUTE OF PRINTING TECHNOLOGY,POLYTECHNIC
571,3114,MEENAKSHI COLLEGE OF ENGINEERING,ENGINEERING
1020,9112,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING
913,7333,JAIRUPAA COLLEGE OF ENGINEERING,ENGINEERING
949,8131,Pavendar Bharathidasan College of Engineering and Technology,ENGINEERING
1059,9215,R.V.S. College of Engineering,ENGINEERING
1323,111,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
887,7307,Excel college of Engineering and Technology ,ENGINEERING
918,8100,University College of Engineering, BIT Campus, Trichy,ENGINEERING
993,8215,Prime College of Architecture & Planning ,ENGINEERING
961,8144,Sudharsan Engineering College,Pudukkottai,ENGINEERING
1090,9506,EINSTEIN COLLEGE OF ENGINEERING,ENGINEERING
1333,123,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1337,127,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
636,4210,Quannta school of software engineering,ENGINEERING
1322,110,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1324,112,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1325,113,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1155,9632,PET ENGINEERING COLLEGE, VALLIOOR,ENGINEERING
1329,119,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1328,118,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1336,126,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1330,120,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1331,121,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1334,124,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1335,125,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1327,117,ALAGAPPA POLYTECHNIC COLLEGE,POLYTECHNIC
1350,140,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1340,130,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1341,131,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1360,176,GOVERNMENT POLYTECHNIC COLLEGE FOR WOMEN,POLYTECHNIC
1343,133,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1351,141,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
1344,134,GOVERNMENT POLYTECHNIC COLLEGE,POLYTECHNIC
