id,college code,college code,college type
978,ENGINEERING,8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY
672,ENGINEERING,5117,Pallavan College of Engineering
1066,ENGINEERING,9222,Theni Kammavar Sangam College of Technology
607,ENGINEERING,4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY
1151,ENGINEERING,9628,UNIVERSITY COLLEGE OF ENGINEERING- NAGERCOIL
917,ENGINEERING,7378,KONGU ENGINEERING COLLEGE
1128,ENGINEERING,9605,CAPE INSTITUTE OF TECHNOLOGY
700,ENGINEERING,6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING
720,ENGINEERING,6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY
1067,ENGINEERING,9223,UNIVERSITY COLLEGE OF ENGINEERING- DINDIGUL
753,ENGINEERING,6221,PAAVAI ENGINEERING COLLEGE
1025,ENGINEERING,9117,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY
1027,ENGINEERING,9119,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY
487,ENGINEERING,1115,Sri Ram Engineering College
563,ENGINEERING,3107,Jawahar Engineering College
609,ENGINEERING,4116,Prince Dr.K.Vasudevan College of Engineering and Technology
943,ENGINEERING,8125,MAHALAKSHMI ENGINEERING COLLEGE
473,ENGINEERING,1101,Aalim Muhammed Salegh College Of Engineering
503,ENGINEERING,1131,Veltech Multitech Dr. Rangarajan Dr. Sakunthala Engineering College
870,ENGINEERING,7239,Arjun College of Technology - Coimbatore 
571,ENGINEERING,3114,MEENAKSHI COLLEGE OF ENGINEERING
1020,ENGINEERING,9112,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY
913,ENGINEERING,7333,JAIRUPAA COLLEGE OF ENGINEERING
949,ENGINEERING,8131,Pavendar Bharathidasan College of Engineering and Technology
1059,ENGINEERING,9215,R.V.S. College of Engineering
887,ENGINEERING,7307,Excel college of Engineering and Technology 
918,ENGINEERING,8100,University College of Engineering- BIT Campus- Trichy
993,ENGINEERING,8215,Prime College of Architecture & Planning 
961,ENGINEERING,8144,Sudharsan Engineering College-Pudukkottai
1090,ENGINEERING,9506,EINSTEIN COLLEGE OF ENGINEERING
636,ENGINEERING,4210,Quannta school of software engineering
1155,ENGINEERING,9632,PET ENGINEERING COLLEGE- VALLIOOR
627,ENGINEERING,4201,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY
915,ENGINEERING,7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY
1792,ENGINEERING,1234567,Demo College 2
944,ENGINEERING,8126,M.A.M College of Engineering
1138,ENGINEERING,9615,MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY
843,ENGINEERING,7211,STUDY WORLD COLLEGE OF ENGINEERING- COIMBATORE
889,ENGINEERING,7309,EXCEL ENGINEERING COLLEGE
1048,ENGINEERING,9204,Kamaraj College of Engineering and Technology 
867,ENGINEERING,7236,Pollachi institute of engineering and technology- pollachi
846,ENGINEERING,7215,Nehru Institute of Information Technology and Management 
897,ENGINEERING,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE
886,ENGINEERING,7306,EXCEL COLLEGE OF ARCHITECTURE AND PLANNING
895,ENGINEERING,7315,K.S.R. COLLEGE OF ENGINEERING
882,ENGINEERING,7302,Al ameen Engineering College (Autonomous)
927,ENGINEERING,8109,Holy Angels School of Business
852,ENGINEERING,7221,SVS School of Architecture
900,ENGINEERING,7320,MAHARAJA PRITHVI ENGINEERING COLLEGE
899,ENGINEERING,7319,MAHARAJA ENGINEERING COLLEGE FOR WOMEN
898,ENGINEERING,7318,MAHARAJA ENGINEERING COLLEGE
894,ENGINEERING,7314,J.K.K.MUNIRAJAH SCHOOL OF ARCHITECTURE
890,ENGINEERING,7310,GEM BUSINESS ACADEMY
888,ENGINEERING,7308,EXCEL COLLEGE OF TECHNOLOGY
656,ENGINEERING,5101,Adhiparasakthi College of Engineering
734,ENGINEERING,6202,Annai mathammal sheela Engineering college 
505,ENGINEERING,1133,Annai Veilankanni's college of Engineering
1793,ENGINEERING,123456789,Demo college
821,ENGINEERING,7153,Asian College of Engineering and Technology 
522,ENGINEERING,2103,Arignar Anna institute of science and technology 
1074,ENGINEERING,9230,Arulmurugan College Of Engineering- Karur
509,ENGINEERING,1137,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY 
769,ENGINEERING,7100,Anna University- Regional Campus Coimbatore
599,ENGINEERING,4106,Dhaanish Ahmed College of Engineering 
871,ENGINEERING,7240,DHAANISH AHMED INSTITUTE OF TECHNOLOGY-COIMBATORE
1092,ENGINEERING,9508,Government College of Engineering
1006,ENGINEERING,8301,Government College of Engineering Srirangam 
779,ENGINEERING,7111,Jansons Institute of Technology 
1012,ENGINEERING,9104,Fatima Michael College of engineering and technology 
519,ENGINEERING,1201,Jaya School of Architecture 
668,ENGINEERING,5113,KINGSTON ENGINEERING COLLEGE
1135,ENGINEERING,9612,Loyola Institute of Technology and Science 
492,ENGINEERING,1120,JAYA SAKTHI ENGINEERING COLLEGE
493,ENGINEERING,1121,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY
515,ENGINEERING,1179,ST.PETER'S ENGINEERING COLLEGE
551,ENGINEERING,2176,E.V.P. ENGINEERING COLLEGE
549,ENGINEERING,2130,SREE SASTHA SCHOOL OF ARCHITECTURE AND PLANNING
581,ENGINEERING,3124,ST.JOSEPH'S INSTITUTE OF TECHNOLOGY
616,ENGINEERING,4123,SRI RAMANUJAR ENGINEERING COLLEGE
615,ENGINEERING,4122,SRI LAKSHMI AMMAL ENGINEERING COLLEGE
649,ENGINEERING,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY
650,ENGINEERING,4224,UNIVERSITY COLLEGE OF ENGINEERING- TINDIVANAM
1091,ENGINEERING,9507,FRANCIS XAVIER ENGINEERING COLLEGE
680,ENGINEERING,5125,SHRI SAPTHAGIRI INSTITUTE OF TECHNOLOGY
679,ENGINEERING,5124,SARASWATHI VELU COLLEGE OF ENGINEERING
