college_code,college_name,branch_id,branch_name,students_count,verified_students_count,logged_in_students_count
9117,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,61,B.E. Computer Science and Engineering,310,310,0
9117,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,65,B.E. Electrical and Electronics Engineering,111,111,0
9117,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,81,B.E Electronics and Communication Engineering,120,120,0
9117,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,83,B.E Mechanical Engineering,149,149,0
9117,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,84,B.E Civil Engineering,122,122,0
4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,61,B.E. Computer Science and Engineering,157,157,0
4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,62,B.E. Mechanical Engineering,1,1,0
4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,65,B.E. Electrical and Electronics Engineering,34,34,0
4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,37,B.Tech. Information Technology,144,144,0
4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,81,B.E Electronics and Communication Engineering,93,93,0
4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,83,B.E Mechanical Engineering,57,57,0
4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,84,B.E Civil Engineering,3,3,0
6221,PAAVAI ENGINEERING COLLEGE,60,B.Tech. Chemical Engineering,90,90,0
6221,PAAVAI ENGINEERING COLLEGE,61,B.E. Computer Science and Engineering,373,373,0
6221,PAAVAI ENGINEERING COLLEGE,65,B.E. Electrical and Electronics Engineering,200,200,0
6221,PAAVAI ENGINEERING COLLEGE,37,B.Tech. Information Technology,189,189,0
6221,PAAVAI ENGINEERING COLLEGE,42,B.E. Civil Engineering,1,1,0
6221,PAAVAI ENGINEERING COLLEGE,1141,MEDICAL ELECTRONICS,4,4,0
6221,PAAVAI ENGINEERING COLLEGE,7005,B.Tech. Food Technology,146,146,0
6221,PAAVAI ENGINEERING COLLEGE,79,B.E Biomedical Engineering,174,174,0
6221,PAAVAI ENGINEERING COLLEGE,81,B.E Electronics and Communication Engineering,308,308,0
6221,PAAVAI ENGINEERING COLLEGE,83,B.E Mechanical Engineering,243,243,0
6221,PAAVAI ENGINEERING COLLEGE,84,B.E Civil Engineering,72,72,0
6221,PAAVAI ENGINEERING COLLEGE,88,B.E Agriculture Engineering,336,336,0
6221,PAAVAI ENGINEERING COLLEGE,96,B.E Computer Science and Engineering (CyberSecurity),125,125,0
6221,PAAVAI ENGINEERING COLLEGE,98,B.E Mechatronics Engineering,114,114,0
6221,PAAVAI ENGINEERING COLLEGE,100,B.E Aeronautical Engineering,82,82,0
