college code,Manditory Branch name,Manditory Sem,Total eligible students,Pending allocations for eligible students
1101,B.E Electrical and Electronics Engineering,7,16,12
1101,B.E Mechanical Engineering,7,59,48
1101,B.E Electrical and Electronics Engineering,5,26,24
1101,B.E Electronics and Communication Engineering,5,29,26
1101,B.E Mechanical Engineering,5,57,50
1101,B.E Computer Science and Engineering,5,76,70
1101,B.E Electrical and Electronics Engineering,5,26,23
1101,B.E Electronics and Communication Engineering,5,29,26
1101,B.Tech Information Technology,5,37,34
1101,B.E Computer Science and Engineering,5,76,57
1101,B.E Electronics and Communication Engineering,5,29,22
1101,B.Tech Information Technology,5,37,27
1101,B.E Mechanical Engineering,5,57,42
1101,B.E Mechanical Engineering,7,59,48
1101,B.E Electrical and Electronics Engineering,5,26,18
1101,B.E Electrical and Electronics Engineering,7,16,12
1101,B.E Electrical and Electronics Engineering,5,26,21
1101,B.E Electrical and Electronics Engineering,7,16,12
1101,B.E Mechanical Engineering,5,57,48
1101,B.E Mechanical Engineering,7,59,50
1101,B.E Civil Engineering,5,18,9
1101,B.E Civil Engineering,7,29,14
1101,B.E Civil Engineering,7,29,15
1101,B.E Computer Science and Engineering,5,76,57
1101,B.Tech Information Technology,5,37,27
1101,B.E Electronics and Communication Engineering,5,29,22
1101,B.E Computer Science and Engineering,5,76,55
1101,B.E Electronics and Communication Engineering,5,29,20
1101,B.Tech Information Technology,5,37,28
1101,B.E Computer Science and Engineering,5,76,65
1101,B.Tech Information Technology,5,37,32
1101,B.E Electrical and Electronics Engineering,5,26,18
1101,B.E Electrical and Electronics Engineering,7,16,12
1101,B.E Mechanical Engineering,5,57,31
1101,B.E Mechanical Engineering,7,59,31
1101,B.E Biomedical Engineering,5,0,0
1101,B.Tech Artificial Intelligence and Data Science,7,0,0
1101,B.E Medical Electronics Engineering,7,0,0
1101,B.E Medical Electronics Engineering,5,0,0
1101,B.E Biomedical Engineering,7,0,0
1101,B.E Electronics and Communication Engineering,5,29,29
1101,B.E Civil Engineering,5,18,9
1105,B.E Aeronautical Engineering,7,23,18
1105,B.E Electrical and Electronics Engineering,7,28,25
1105,B.E Mechanical Engineering,7,45,38
1105,B.E Aeronautical Engineering,5,38,33
1105,B.E Electrical and Electronics Engineering,5,30,27
1105,B.E Electronics and Communication Engineering,5,63,57
1105,B.E Mechanical Engineering,5,114,100
1105,B.E Computer Science and Engineering,5,67,62
1105,B.E Electrical and Electronics Engineering,5,30,27
1105,B.E Electronics and Communication Engineering,5,63,57
1105,B.Tech Information Technology,5,29,27
1105,B.E Computer Science and Engineering,5,67,50
1105,B.E Electronics and Communication Engineering,5,63,47
1105,B.Tech Information Technology,5,29,22
1105,B.E Aeronautical Engineering,5,38,28
1105,B.E Aeronautical Engineering,7,23,18
1105,B.E Mechanical Engineering,5,114,85
1105,B.E Mechanical Engineering,7,45,38
1105,B.E Electrical and Electronics Engineering,5,30,21
1105,B.E Electrical and Electronics Engineering,7,28,24
1105,B.E Electrical and Electronics Engineering,5,30,24
1105,B.E Electrical and Electronics Engineering,7,28,24
1105,B.E Aeronautical Engineering,5,38,32
1105,B.E Aeronautical Engineering,7,23,20
1105,B.E Mechanical Engineering,5,114,97
1105,B.E Mechanical Engineering,7,45,39
1105,B.E Civil Engineering,5,19,9
1105,B.E Civil Engineering,5,19,10
1105,B.E Civil Engineering,7,4,2
1105,B.E Civil Engineering,7,4,2
1105,B.E Computer Science and Engineering,5,67,50
1105,B.Tech Information Technology,5,29,22
1105,B.E Electronics and Communication Engineering,5,63,47
1105,B.E Computer Science and Engineering,5,67,49
1105,B.E Electronics and Communication Engineering,5,63,44
1105,B.Tech Information Technology,5,29,21
1105,B.E Computer Science and Engineering,5,67,57
1105,B.Tech Information Technology,5,29,24
1105,B.E Aeronautical Engineering,5,38,21
1105,B.E Aeronautical Engineering,7,23,13
1105,B.E Electrical and Electronics Engineering,5,30,21
1105,B.E Electrical and Electronics Engineering,7,28,11
1105,B.E Mechanical Engineering,5,114,60
1105,B.E Mechanical Engineering,7,45,20
1105,B.E Biomedical Engineering,5,0,0
1105,B.Tech Artificial Intelligence and Data Science,7,0,0
1105,B.E Medical Electronics Engineering,7,0,0
1105,B.E Medical Electronics Engineering,5,0,0
1105,B.E Biomedical Engineering,7,0,0
1105,B.E Electronics and Communication Engineering,5,63,63
1108,B.E Aeronautical Engineering,7,5,4
1108,B.E Electrical and Electronics Engineering,7,12,9
1108,B.E Electronics and instrumentation engineering,7,9,7
1108,B.E Mechanical Engineering,7,25,20
1108,B.E Aeronautical Engineering,5,9,8
1108,B.E Electrical and Electronics Engineering,5,37,33
1108,B.E Electronics and Communication Engineering,5,28,25
1108,B.E Electronics and instrumentation engineering,5,11,10
1108,B.E Mechanical Engineering,5,38,32
1108,B.E Computer Science and Engineering,5,47,43
1108,B.E Electrical and Electronics Engineering,5,37,33
1108,B.E Electronics and Communication Engineering,5,28,25
1108,B.E Electronics and instrumentation engineering,5,11,10
1108,B.Tech Information Technology,5,18,16
1108,B.E Computer Science and Engineering,5,47,34
1108,B.E Electronics and Communication Engineering,5,28,21
1108,B.Tech Information Technology,5,18,13
1108,B.E Aeronautical Engineering,5,9,7
1108,B.E Aeronautical Engineering,7,5,4
1108,B.E Mechanical Engineering,5,38,25
1108,B.E Mechanical Engineering,7,25,20
1108,B.E Electrical and Electronics Engineering,5,37,26
1108,B.E Electrical and Electronics Engineering,7,12,9
1108,B.E Electronics and instrumentation engineering,5,11,8
1108,B.E Electronics and instrumentation engineering,7,9,7
1108,B.E Electrical and Electronics Engineering,5,37,30
1108,B.E Electrical and Electronics Engineering,7,12,9
1108,B.E Electronics and instrumentation engineering,5,11,9
1108,B.E Electronics and instrumentation engineering,7,9,7
1108,B.E Aeronautical Engineering,5,9,8
1108,B.E Aeronautical Engineering,7,5,4
1108,B.E Mechanical Engineering,5,38,30
1108,B.E Mechanical Engineering,7,25,21
1108,B.E Civil Engineering,5,56,28
1108,B.E Civil Engineering,5,56,28
1108,B.E Civil Engineering,7,7,3
1108,B.E Civil Engineering,7,7,4
1108,B.E Computer Science and Engineering,5,47,34
1108,B.Tech Information Technology,5,18,13
1108,B.E Electronics and Communication Engineering,5,28,21
1108,B.E Computer Science and Engineering,5,47,34
1108,B.E Electronics and Communication Engineering,5,28,20
1108,B.Tech Information Technology,5,18,13
1108,B.E Computer Science and Engineering,5,47,43
1108,B.Tech Information Technology,5,18,17
1108,B.E Aeronautical Engineering,5,9,4
1108,B.E Aeronautical Engineering,7,5,3
1108,B.E Electrical and Electronics Engineering,5,37,26
1108,B.E Electrical and Electronics Engineering,7,12,9
1108,B.E Electronics and instrumentation engineering,5,11,7
1108,B.E Electronics and instrumentation engineering,7,9,6
1108,B.E Mechanical Engineering,5,38,27
1108,B.E Mechanical Engineering,7,25,14
1108,B.Tech Textile Technology,5,23,0
1108,B.Tech Textile Technology,7,18,0
1108,B.E Biomedical Engineering,5,0,0
1108,B.Tech Artificial Intelligence and Data Science,7,0,0
1108,B.E Medical Electronics Engineering,7,0,0
1108,B.E Medical Electronics Engineering,5,0,0
1108,B.E Biomedical Engineering,7,0,0
1108,B.E Electronics and Communication Engineering,5,28,28
1111,B.E Electrical and Electronics Engineering,7,13,10
1111,B.E Mechanical Engineering,7,25,20
1111,B.E Electrical and Electronics Engineering,5,26,23
1111,B.E Electronics and Communication Engineering,5,15,14
1111,B.E Mechanical Engineering,5,29,26
1111,B.E Electrical and Electronics Engineering,5,26,23
1111,B.E Electronics and Communication Engineering,5,15,13
1111,B.E Electronics and Communication Engineering,5,15,12
1111,B.E Mechanical Engineering,5,29,22
1111,B.E Mechanical Engineering,7,25,20
1111,B.E Electrical and Electronics Engineering,5,26,18
1111,B.E Electrical and Electronics Engineering,7,13,10
1111,B.E Electrical and Electronics Engineering,5,26,21
1111,B.E Electrical and Electronics Engineering,7,13,10
1111,B.E Mechanical Engineering,5,29,25
1111,B.E Mechanical Engineering,7,25,21
1111,B.E Civil Engineering,7,3,1
1111,B.E Civil Engineering,7,3,2
1111,B.E Electronics and Communication Engineering,5,15,11
1111,B.E Electronics and Communication Engineering,5,15,10
1111,B.E Electrical and Electronics Engineering,5,26,19
1111,B.E Electrical and Electronics Engineering,7,13,9
1111,B.E Mechanical Engineering,5,29,14
1111,B.E Mechanical Engineering,7,25,14
1111,B.Tech Food Technology,5,3,0
1111,B.E Biomedical Engineering,5,0,0
1111,B.Tech Artificial Intelligence and Data Science,7,0,0
1111,B.E Medical Electronics Engineering,7,0,0
1111,B.E Medical Electronics Engineering,5,0,0
1111,B.E Biomedical Engineering,7,0,0
1111,B.E Electronics and Communication Engineering,5,15,15
1120,B.E Mechanical Engineering,7,21,18
1120,B.E Mechanical Engineering,5,37,32
1120,B.E Biomedical Engineering,5,30,27
1120,B.E Computer Science and Engineering,5,20,18
1120,B.E Biomedical Engineering,5,30,27
1120,B.E Computer Science and Engineering,5,20,15
1120,B.E Biomedical Engineering,5,30,22
1120,B.E Mechanical Engineering,5,37,27
1120,B.E Mechanical Engineering,7,21,18
1120,B.E Mechanical Engineering,5,37,31
1120,B.E Mechanical Engineering,7,21,18
1120,B.E Computer Science and Engineering,5,20,15
1120,B.E Biomedical Engineering,5,30,22
1120,B.E Computer Science and Engineering,5,20,15
1120,B.E Biomedical Engineering,5,30,22
1120,B.E Computer Science and Engineering,5,20,17
1120,B.E Mechanical Engineering,5,37,21
1120,B.E Mechanical Engineering,7,21,9
1120,B.E Biomedical Engineering,5,30,30
1120,B.Tech Artificial Intelligence and Data Science,7,0,0
1120,B.E Medical Electronics Engineering,7,0,0
1120,B.E Medical Electronics Engineering,5,0,0
1120,B.E Biomedical Engineering,7,0,0
1120,B.E Electronics and Communication Engineering,5,0,0
1123,B.E Electrical and Electronics Engineering,7,10,7
1123,B.E Mechanical Engineering,7,18,15
1123,B.E Electrical and Electronics Engineering,5,32,29
1123,B.E Electronics and Communication Engineering,5,21,19
1123,B.E Mechanical Engineering,5,66,58
1123,B.E Computer Science and Engineering,5,15,14
1123,B.E Electrical and Electronics Engineering,5,32,29
1123,B.E Electronics and Communication Engineering,5,21,18
1123,B.E Computer Science and Engineering,5,15,11
1123,B.E Electronics and Communication Engineering,5,21,16
1123,B.E Mechanical Engineering,5,66,49
1123,B.E Mechanical Engineering,7,18,14
1123,B.E Electrical and Electronics Engineering,5,32,23
1123,B.E Electrical and Electronics Engineering,7,10,7
1123,B.E Electrical and Electronics Engineering,5,32,25
1123,B.E Electrical and Electronics Engineering,7,10,7
1123,B.E Mechanical Engineering,5,66,56
1123,B.E Mechanical Engineering,7,18,15
1123,B.E Civil Engineering,5,27,13
1123,B.E Civil Engineering,5,27,14
1123,B.E Civil Engineering,7,3,1
1123,B.E Civil Engineering,7,3,2
1123,B.E Computer Science and Engineering,5,15,11
1123,B.E Electronics and Communication Engineering,5,21,16
1123,B.E Computer Science and Engineering,5,15,12
1123,B.E Electronics and Communication Engineering,5,21,15
1123,B.E Computer Science and Engineering,5,15,12
1123,B.E Electrical and Electronics Engineering,5,32,22
1123,B.E Electrical and Electronics Engineering,7,10,9
1123,B.E Mechanical Engineering,5,66,35
1123,B.E Mechanical Engineering,7,18,10
1123,B.E Biomedical Engineering,5,0,0
1123,B.Tech Artificial Intelligence and Data Science,7,0,0
1123,B.E Medical Electronics Engineering,7,0,0
1123,B.E Medical Electronics Engineering,5,0,0
1123,B.E Biomedical Engineering,7,0,0
1123,B.E Electronics and Communication Engineering,5,21,21
1124,B.E Electrical and Electronics Engineering,7,21,16
1124,B.E Mechanical Engineering,7,51,41
1124,B.E Electrical and Electronics Engineering,5,66,60
1124,B.E Electronics and Communication Engineering,5,91,82
1124,B.E Mechanical Engineering,5,131,115
1124,B.E Computer Science and Engineering,5,65,60
1124,B.E Electrical and Electronics Engineering,5,66,60
1124,B.E Electronics and Communication Engineering,5,91,82
1124,B.E Computer Science and Engineering,5,65,49
1124,B.E Electronics and Communication Engineering,5,91,68
1124,B.E Mechanical Engineering,5,131,98
1124,B.E Mechanical Engineering,7,51,41
1124,B.E Electrical and Electronics Engineering,5,66,47
1124,B.E Electrical and Electronics Engineering,7,21,16
