College Code,college name ,sopc name ,spoc number ,Student counr,verified count
1101,Aalim Muhammed Salegh College Of Engineering,Dr.E.Ganesh,,783,783
1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Dr.R.Ashokkumar,,581,581
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,PRABU.K,,642,633
1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Vignesh P,,131,131
1107,J N N INSTITUTE OF ENGINEERING,Ms. K. Vanishree,,601,601
1108,JAYA ENGINEERING COLLEGE,Dr. Seethadevi,,612,612
1111,JAYA INSTITUTE OF TECHNOLOGY,M S DAYANITHI,,130,130
1114,Prathyusha engineering college,Dr. Jayaraman.P,,998,997
1118,Veltech Multitech Dr. Rangarajan Dr. Sakunthala Engineering College,Dr. N. Pragadish,,45,0
1120,JAYA SAKTHI ENGINEERING COLLEGE,P.JAYASRI ARCHANA DEVI,,183,183
1121,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY,,,40,0
1123,SRI KRISHNA COLLEGE OF ENGINEERING,Saraswathi Nila,,220,211
1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Rajesh kumar V,,1904,1904
1125,SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY,AN Arun,,229,201
1126,	Sriram Engineering College,Dr.P. SARAVANAN,,170,170
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Dr K.Purushothaman,,423,423
1128,TJS Engineering College,Dr. S. Velmurugan ,,347,344
1133,Velammal Institute of Technology,Mr. K. Kalia Gurumoorthi,,1000,997
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,K.RAJA,,240,240
2101,ALPHA COLLEGE OF ENGINEERING,MURALI K,,247,243
2102,APOLLO ENGINEERING COLLEGE,VENKATA SUBRAMANIAN S,,249,247
2103,Arignar Anna institute of science and technology ,G Karthikeyan ,,193,0
2104,CHENNAI INSTITUTE OF TECHNOLOGY,G. KEERTHI VIJAYADHASAN,,2442,1570
2105,Dmi college of Engineering,Cypto J,,833,0
2106,Jeppiaar Institute of technology,Dr. S. Suresh,,676,676
2108,KINGS ENGINEERING COLLEGE,Dr.M.Parameswari,,1255,3
2109,LOYOLA INSTITUTE OF TECHNOLOGY,DR. SUJATHA JAMUNA ANAND,,776,776
2111,MADHA ENGINEERING COLLEGE,Monica.G,,495,495
2112,MADHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Dasaradhan,,272,272
2113,P.B. COLLEGE OF ENGINEERING,SUINTHA T,,135,134
2115,Panimalar Institute of Technology ,Dr. Hariprasath Manoharan ,,2057,2056
2117,Rajalakshmi Institute of Technology ,Dr.D.C. Joy Winnie Wise ,,1313,1313
2119,RAJIV GANDHI COLLEGE OF ENGINEERING,Kavitha N,,392,106
