college_code,college_name,student_count
4969,SCAD College of Engineering and Technology ,0,
732,GANDHI POLYTECHNIC COLLEGE,0,
205,A M K TECHNOLOGICAL POLYTECHNIC COLLEGE,0,
9507,FRANCIS XAVIER ENGINEERING COLLEGE,0,
8133,R.V.S - K.V.K INSTITUTE OF MANAGEMENT STUDIES,0,
279,AYYA NADAR JANAKIAMMAL POLYTECHNIC COLLEGE,0,
7207,HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
820,JESU POLYTECHNIC COLLEGE,0,
2737,Sri Sai Ranganathan Engineering College ,0,
737,PAAVENDHAR POLYTECHNIC COLLEGE,0,
521,SUGUNA POLYTECHNIC COLLEGE,0,
3119,ROYAL INSTITUTE OF MANAGEMENT STUDIES & COMPUTER APPLICATION,0,
8225,SWAMI VIVEKANANDA INSTITUTE OF MANAGEMENT,0,
753,MAHATH AMMA POLYTECHNIC COLLEGE,0,
8111,IMAYAM COLLEGE OF INFORMATION TECHNOLOGY,0,
4023,University College of Engineering Nagercoil ,0,
127,GOVERNMENT POLYTECHNIC COLLEGE,0,
729,KARTHIKEYA POLYTECHNIC COLLEGE,0,
906,JEEVAN POLYTECHNIC COLLEGE,0,
6232,VASAVI VIDYA TRUST GROUP OF INSTITUTIONS"",0,
2648,Annapoorana Engineering College,0,
2110,JEPPIAAR MAAMALLAN ENGINEERING COLLEGE,0,
8122,M.A.M.B. SCHOOL,0,
517,KRISHNASAMY MEMORIAL POLYTECHNIC COLLEGE,0,
869,RANGANATHAN POLYTECHNIC COLLEGE,0,
147,GOVERNMENT POLYTECHNIC COLLEGE,0,
4670,Rohini College of Engineering and Technology ,0,
540,LITTLE FLOWER POLYTECHNIC COLLEGE,0,
505,PSB POLYTECHNIC COLLEGE,0,
352,LAKSHMIAMMAL POLYTECHNIC COLLEGE,0,
359,THAI MOOGAMBIGAI POLYTECHNIC COLLEGE,0,
3860,St. Anne's College of Engineering and Technology,0,
7134,SASURIE ACADEMY OF ENGINEERING,0,
6103,ARCHANA INSTITUTE OF TECHNOLOGY,0,
936,KURINJE  POLYTECHNIC COLLEGE,0,
7126,PRAHAR SCHOOL OF ARCHITECTURE,0,
215,SAKTHI POLYTECHNIC COLLEGE,0,
124,GOVERNMENT POLYTECHNIC COLLEGE,0,
2641,Varuvan Vadivlan Institute of technology ,0,
503,S A POLYTECHNIC COLLEGE,0,
4219,SRI ARAVINDAR ENGINEERING COLLEGE,0,
7156,TIPS SCHOOL OF MANAGEMENT,0,
2376,Rathinam School of Architecture,0,
2621,Er. Perumal Manimekalai College of Engineering, Hosur. ,0,
829,THIRUMALAI POLYTECHNIC COLLEGE,0,
724,MUSIRI INSTITUTE OF TECHNOLOGY,0,
1422,SRM VALLIAMMAI ENGINEERING COLLEGE,0,
780,S.VEERASAMY CHETTIAR POLYTECHNIC COLLEGE,0,
9676,NOORUL ISLAM COLLEGE OF ENGINEERING,0,
841,SHRI RAMANAS ABC POLYTECHNIC COLLEGE,0,
768,VIVEKANANDA POLYTECHNIC COLLEGE,0,
326,THE SALEM POLYTECHNIC COLLEGE,0,
7135,SNS COLLEGE OF TECHNOLOGY,0,
210,C I T SANDWICH POLYTECHNIC COLLEGE,0,
766,HAJI SHEIK ISMAIL POLYTECHNIC COLLEGE,0,
528,SEMBODAI R V POLYTECHNIC COLLEGE,0,
113,GOVERNMENT POLYTECHNIC COLLEGE,0,
140,GOVERNMENT POLYTECHNIC COLLEGE,0,
573,CHANDY POLYTECHNIC COLLEGE,0,
2673,SREE SAKTHI ENGINEERINH COLLEGE,0,
881,HINDUSTHAN POLYTECHNIC COLLEGE,0,
520,SRI MUTHALAMMAN POLYTECHNIC COLLEGE,0,
597,SRINIVASAN POLYTECHNIC COLLEGE,0,
8302,SVS INTERNATIONAL COLLEGE OF ARCHITECTURE,0,
744,SRI RAMACHANDRA POLYTECHNIC COLLEGE,0,
204,BAKTHAVATSALAM POLYTECHNIC COLLEGE,0,
118,GOVERNMENT POLYTECHNIC COLLEGE,0,
5915,SACS MAVMM ENGINEERING COLLEGE,0,
870,PSV POLYTECHNIC COLLEGE,0,
1115,R.M.D ENGINEERING COLLEGE,0,
103,INSTITUTE OF CHEMICAL TECHNOLOGY,0,
702,AAROORAN POLYTECHNIC COLLEGE,0,
304,ADHIPARASAKTHI POLYTECHNIC COLLEGE,0,
368,KALAIVANAR N S K POLYTECHNIC COLLEGE,0,
2743,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,0,
814,ANNAI MADHA POLYTECHNIC COLLEGE,0,
7326,SRI RAMANATHAN ENGINEERING COLLEGE,0,
7329,VELALAR COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
6213,Kongunadu College of Engineering and Technology ,0,
9234,MADURAI SCHOOL OF MANAGEMENT,0,
410,S M P A INSTITUTE OF PRINTING TECHNOLOGY,0,
1307,JERUSALEM COLLEGE OF ENGINEERING,0,
9205,KARUR COLLEGE OF ENGINEERING,0,
919,St. JUDE'S POLYTECHNIC COLLEGE,0,
825,V.J.P.POLYTECHNIC COLLEGE,0,
4211,IFET COLLEGE OF ENGINEERING,0,
4970,SREE SOWDAMBIKA COLLEGE OF ENGINEERING, ARUPPUKOTTAI,0,
576,P.A Polytechnic College ,0,
508,MARUTHI POLYTECHNIC COLLEGE,0,
7109,INDUS COLLEGE OF ENGINEERING,0,
9514,JOE SURESH ENGINEERING COLLEGE,0,
950,JAYA INSTITUTE OF TECHNOLOGY,0,
8104,Dhanalakshmi Srinivasan Engineering College ,0,
7119,KV INSTITUTE OF MANAGEMENT AND INFORMATION STUDIES,0,
535,Raja Desingh Polytechnic College,0,
1129,VEL TECH,0,
529,K A R POLYTECHNIC COLLEGE,0,
123,GOVERNMENT POLYTECHNIC COLLEGE,0,
8176,PERIYAR MANIAMMAI COLLEGE OF TECHNOLOGY FOR WOMEN,0,
132,GOVERNMENT POLYTECHNIC COLLEGE, PERUNDURAI,0,
385,SRI BALAJI POLYTECHNIC COLLEGE,0,
217,S S M POLYTECHNIC COLLEGE,0,
582,MOTHER TERASA POLYTECHNIC COLLEGE,0,
5112,KANCHI PALLAVAN ENGINEERING COLLEGE,0,
7146,R V S COLLEGE OF COMPUTER APPLICATION,0,
755,SRI BHARATHI POLYTECHNIC COLLEGE FOR WOMEN,0,
1109,JAYA SURIYA ENGINEERING COLLEGE,0,
8108,HALLMARK BUSINESS SCHOOL,0,
9101,C.R. ENGINEERING COLLEGE,0,
934,VETHAMONICKAM MEMORIAL CSI POLYTECHNIC COLLEGE,0,
861,ST. XAVIER'S POLYTECHNIC COLLEGE,0,
716,N P R POLYTECHNIC COLLEGE.,0,
7222,SAKTHI INSTITUTE OF INFORMATION AND MANAGEMENT STUDIES,0,
857,V.K.P. POLYTECHNIC COLLEGE,0,
9206,KODAIKANAL INSTITUTE OF TECHNOLOGY,0,
317,SREE NARAYANAGURU POLYTECHNIC COLLEGE,0,
735,EXCEL POLYTECHNIC COLLEGE,0,
1442,Prince Dr K Vasudevan College of engineering and technology ,0,
9177,Thiagarajar College of Engineering, Madurai,0,
858,DR. KALAM POLYTECHNIC COLLEGE,0,
785,GURU RAAGAVINDRA POLYTECHNIC COLLEGE,0,
354,GOMATHI AMBAL POLYTECHNIC COLLEGE,0,
333,SHANMUGHA POLYTECHNIC COLLEGE ,0,
347,ARULMIGU KALASALINGAM POLYTECHNIC COLLEGE,0,
218,SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE,0,
3132,ST. MARY'S SCHOOL OF MANAGEMENT STUDIES,0,
367,MSP VELAYUTHANADAR LAKSHMITHAIAMMAL  POLY.COLLEGE,0,
1501,Adhiparasakthi College of Engineering,0,
3100,ANNA UNIVERSITY, TARAMANI CAMPUS,0,
797,SRI PADMAM POLYTECHNIC COLLEGE,0,
149,GOVERNMENT POLYTECHNIC COLLEGE,0,
7148,SCAD INSTITUTE OF TECHNOLOGY,0,
413,INSTITUTE OF TOOL ENGINEERING,0,
567,JAYA POLYTECHNIC COLLEGE,0,
7216,NEHRU INSTITUTE OF MANAGEMENT STUDIES,0,
908,KUMARAN POLYTECHNIC COLLEGE,0,
2176,E.V.P. ENGINEERING COLLEGE,0,
1228,ALPHA COLLEGE OF ENGINEERING,0,
331,SUBRAMANIAN POLYTECHNIC COLLEGE,0,
717,SRI VENKATESHWARAA POLYTECHNIC COLLEGE,0,
1201,Jaya School of Architecture ,0,
516,VENKATESWARA POLYTECHNIC COLLEGE,0,
1209,Pallavan College of Engineering,0,
895,MARIA POLYTECHNIC COLLEGE,0,
7208,Hindusthan Institute of Technology,0,
135,GOVERNMENT POLYTECHNIC COLLEGE,0,
104,INSTITUTE OF LEATHER TECHNOLOGY,0,
790,PARAMVEER POLYTECHNIC COLLEGE,0,
8103,DESIGNED ENVIRONMENT ACADEMY AND RESEARCH INSTITUTE,0,
2607,K.S.Rangasamy College of Technology,0,
2344,KONGU SCHOOL OF ARCHITECTURE,0,
705,Kongunadu polytechnic college, thottiam. ,0,
713,SUDHARSHANA POLYTECHNIC COLLEGE,0,
3920,SUDHARSAN ENGINEERING COLLEGE,0,
2758,JKK MUNIRAJAH COLLEGE OF TECHNOLOGY ,0,
757,IMAYAM POLYTECHNIC COLLEGE ,0,
562,SRI SITHESWARAR POLYTECHNIC COLLEGE,0,
303,SRI NALLALAGHU POLYTECHNIC COLLEGE,0,
2628,Paavai college of Engineering ,Namakkal.,0,
380,I R T POLYTECHNIC COLLEGE,0,
139,GOVERNMENT POLYTECHNIC COLLEGE,0,
907,VARADHARAJAN POLYTECHNIC COLLEGE,0,
3410,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY ,0,
893,SRI VENKATESWARA POLYTECHNIC COLLEGE,0,
9276,M.KUMARASAMY COLLEGE OF ENGINEERING,0,
325,ANNAI J K K SAMPOORANI AMMAL POLYTECHNIC COLLEGE,0,
866,VIVEKANANDA POLYTECHNIC COLLEGE,0,
939,DON BOSCO POLYTECHNIC COLLEGE,0,
144,GOVERNMENT POLYTECHNIC COLLEGE,0,
2107,KALSAR COLLEGE OF ENGINEERING,0,
872,VELLORE POLYTECHNIC COLLEGE,0,
776,SRI RAMAKRISHNA POLYTECHNIC COLLEGE ,0,
7231,SVS INSTITUTE OF COMPUTER APPLICATIONS,0,
1321,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,0,
225,V S VELLAICHAMY NADAR POLYTECHNIC COLLEGE,0,
1122,SEVA RATHNA VALLAL RCK COLLEGE OF ENGINEERING,0,
357,NOORUL ISLAM POLYTECHNIC COLLEGE,0,
5128,SRI NANDHANAM COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
782,S S K POLYTECHNIC COLLEGE,0,
1116,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY ,0,
366,ARULMIGU SENTHILANDAVAR POLYTECHNIC COLLEGE,0,
9204,Kamaraj College of Engineering and Technology ,0,
546,THE KAVERY POLYTECHNIC COLLEGE,0,
833,S.M.S. POLYTECHNIC COLLEGE,0,
203,MURUGAPPA POLYTECHNIC COLLEGE,0,
1104,BHAJARANG ENGINEERING COLLEGE,0,
335,THE KARUR POLYTECHNIC COLLEGE,0,
6134,HOSUR INSTITUTE OF TECHNOLOGY AND SCIENCE,0,
850,THAAI POLYTECHNIC COLLEGE,0,
2769,JCT College of Engineering and Technology  ,0,
578,T.S.SRINIVASAN CENTRE FOR POLYTECHNIC COLLEGE AND ADVANCED TRAINING ,0,
3831,Indra Ganesan College of Engineering Trichy ,0,
783,SRI KARPAGA POLYTECHNIC COLLEGE,0,
8115,K. RAMAKRISHNAN COLLEGE OF ENGINEERING,0,
824,NACHIAPPA SWAMIGAL POLYTECHNIC COLLEGE,0,
938,EASWAR POLYTECHNIC COLLEGE,0,
3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE ,0,
2360,Suguna College of Engineering ,0,
3177,HINDUSTAN COLLEGE OF ENGINEERING,0,
117,ALAGAPPA POLYTECHNIC COLLEGE,0,
754,ST. JOSEPH POLYTECHNIC COLLEGE,0,
414,KARAIKAL POLYTECHNIC COLLEGE,0,
4966,PET Engineering college ,0,
589,CHENDHURAN POLYTECHNIC COLLEGE,0,
1026,University College of Engineering Kancheepuram ,0,
7319,MAHARAJA ENGINEERING COLLEGE FOR WOMEN,0,
5120,SRI RAMANA MAHARISHI COLLEGE OF ENGINEERING,0,
6216,MUTHAYAMMAL ENGINEERING COLLEGE,0,
6104,COLLEGE OF BUSINESS MANAGEMENT,0,
8152,NALANDA SCHOOL OF BUSINESS,0,
2702,Bannari Amman Institute of Technology,0,
722,UDHAYAM POLYTECHNIC COLLEGE,0,
2768,PARK COLLEGE OF TECHNOLOGY ,0,
728,BHAVANI POLYTECHNIC COLLEGE,0,
7318,MAHARAJA ENGINEERING COLLEGE,0,
928,AMMAIAPPAR POLYTECHNIC COLLEGE,0,
863,SREE VAIKUNDAR POLYTECHNIC COLLEGE,0,
821,K.M.G.POLYTECHNIC COLLEGE,0,
355,ST XAVIERS POLYTECHNIC COLLEGE,0,
6179,VINAYAKA MISSIONS KIRUPANANDA VARIYAR ENGINEERING COLLEGE,0,
7176,COIMBATORE INSTITUTE OF TECHNOLOGY,0,
924,P S V POLYTECHNIC COLLEGE,0,
2653,KNOWLEDGE INSTITUTE OF TECHNOLOGY,0,
175,DR DHARMAMBAL GOVT POLYTECHNIC COLLEGE FOR WOMEN,0,
1119,S.A. ENGINEERING COLLEGE,0,
7224,SAN INTERNATIONAL INFO SCHOOL,0,
2629,SENGUNTHAR COLLEGE OF ENGINEERING,0,
931,JAI KRISHNA POLYTECHNIC COLLEGE,0,
1529,Oxford college of engineering ,0,
526,SRI AYYAPPA POLYTECHNIC COLLEGE,0,
4178,S.R.M. ENGINEERING COLLEGE,0,
721,ROYAL POLYTECHNIC COLLEGE,0,
6119,RKKR SCHOOL OF MANAGEMENT STUDIES,0,
226,P A C RAMASAMY RAJA'S POLYTECHNIC COLLEGE,0,
7206,HAPPY VALLEY BUSINESS SCHOOL,0,
405,INSTITUTE OF CERAMIC TECHNOLOGY,0,
739,VOICE OF GOD POLYECHNIC COLLEGE,0,
323,THIRU RAMAKRISHNA NALLAMMAI POLYTECHNIC COLLEGE,0,
539,ANNDAVAR POLYTECHNIC COLLEGE,0,
116,TAMILNADU POLYTECHNIC COLLEGE,0,
595,SHREENIVASA POLYTECHNIC COLLEGE,0,
796,SREE KUMARAGURU POLYTECHNIC COLLEGE,0,
6125,SRI VENKATESWARA INSTITUTE OF ENGINEERING,0,
6111,KNOWLEDGE BUSINESS SCHOOL,0,
563,JOHN BOSCO POLYTECHNIC COLLEGE,0,
580,F X POLYTECHNIC COLLEGE,0,
201,P T LEE CHENGALVARAYA NAICKER POLYTECHNIC COLLEGE,0,
944,MADURAI INSTITUTE OF ENGINEERING AND TECHNOLOGY,0,
759,THIRUVALLUVAR POLYTECHNIC COLLEGE,0,
312,PANDIYAN POLYTECHNIC COLLEGE,0,
8136,ROEVER INSTITUTE OF MANAGEMENT,0,
4994,JP COLLEGE OF ENGINEERING,0,
7132,RVS INSTITUTE OF MANAGEMENT STUDIES,0,
556,THIRUTHANI POLYTECHNIC COLLEGE,0,
9113,MICHAEL INSTITUTE OF MANAGEMENT,0,
