college_code,college_name,student_count
4124,Sri Sai Ram Institute of Technology ,0,
533,PAAVAI POLYTECHNIC COLLEGE,0,
1438,Sree Krishna College of engineering ,0,
2737,Sri Sai Ranganathan Engineering College ,0,
4917,Sethu Institute of technology ,0,
2653,KNOWLEDGE INSTITUTE OF TECHNOLOGY,0,
2630,Chettinad College of Engineering & Technology,0,
2629,SENGUNTHAR COLLEGE OF ENGINEERING,0,
2122,Saveetha Engineering college (Autonomous),0,
1529,Oxford college of engineering ,0,
2617,Sengunthar Engineering College (Autonomous),0,
4954,Dr.Sivanthi Aditanar College of Engineering,0,
2005,Government College of Technology (GCT), Coimbatore,0,
1130,MARG Institute of Design and Architecture Swarnabhoomi (MIDAS),0,
1210,Panimalar Engineering College ,0,
2733,ANGEL COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
2623,Mahendra College of Engineering, Salem,0,
505,PSB POLYTECHNIC COLLEGE,0,
1013,University College of Engineering Villupuram,0,
1436,A.R ENGINEERING COLLEGE ,0,
1525,Podhigai College of Engineering and Technology, Tirupattur ,0,
3841,CARE College of Engineering,0,
3860,St. Anne's College of Engineering and Technology,0,
215,SAKTHI POLYTECHNIC COLLEGE,0,
2641,Varuvan Vadivlan Institute of technology ,0,
3822,Dr.NAVALAR NEDUNCHEZHIYAN COLLEGE OF ENGINEERING,0,
2376,Rathinam School of Architecture,0,
1441,A.K.T Memorial College of Engineering and Technology,0,
1422,SRM VALLIAMMAI ENGINEERING COLLEGE,0,
2739,Sri Eshwar College of Engineering ,0,
7135,SNS COLLEGE OF TECHNOLOGY,0,
4210,Quannta school of software engineering,0,
332,AVC Polytechnic College ,0,
2025,Anna University, Regional Campus Coimbatore,0,
5009,Government College of Engineering, Bodinayakkanur,0,
109,THANTHAI PERIYAR EVR GOVERNMENT POLYTECHNIC COLLEGE VELLORE,0,
2673,SREE SAKTHI ENGINEERINH COLLEGE,0,
3465,Government college of Engineering Srirangam ,0,
216,Thiagarajar Polytechnic College, Salem-636005,0,
4944,Arunachala College of Engineering for Women, Vellichanthai ,0,
2350,JAIRUPAA COLLEGE OF ENGINEERING,0,
7304,ERODE SENGUNTHAR ENGINEERING COLLEGE,0,
374,CPCL POLYTECHNIC COLLEGE,0,
1219,Sri Venkateswara College of Engineering,0,
2,University Departments of Anna University, Chennai - ACT Campus,0,
1115,R.M.D ENGINEERING COLLEGE,0,
6213,Kongunadu College of Engineering and Technology ,0,
3011,University College of Engineering, BIT Campus, Tiruchirappalli,0,
1307,JERUSALEM COLLEGE OF ENGINEERING,0,
3801,AVC College of Engineering,0,
4970,SREE SOWDAMBIKA COLLEGE OF ENGINEERING, ARUPPUKOTTAI,0,
4104,ASAN MEMORIAL COLLEGE OF ENGINEERING & TECHNOLOGY,0,
5919,St. Michael College of Engineering & Technology,0,
1131,Veltech Multitech Dr. Rangarajan Dr. Sakunthala Engineering College,0,
535,Raja Desingh Polytechnic College,0,
5832,NPR COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
4677,LOURDES MOUNT COLLEGE OF ENGINEERING AND TECHNOLOGY ,0,
5912,Pandian Saraswathi Yadav Engineering College,0,
387,SRI KRISHNA POLYTECHNIC COLLEGE,0,
132,GOVERNMENT POLYTECHNIC COLLEGE, PERUNDURAI,0,
001,College of Engg, Guindy Campus, Anna University, Chennai,0,
1014,University College of Engineering, Tindivanam,0,
280,A D J Dharmambal polytechnic college , Nagapattinam,0,
2633,Vidyaa Vikas College of Engineering and Technology,0,
3803,ANJALAI AMMAL MAHALINGAM ENGINEERING COLLEGE KOVILVENNI TIRUVARUR DT.614403,0,
4953,Cape Institute of Technology,  Levegipuram ,0,
4,Madras Institute of Technology,0,
2667,Excel College of Architecture and Planning ,0,
1402,ANNAI TERESA COLLEGE OF ENGINEERING ,0,
7276,Dr.Mahalingam College of Engineering and Technology,0,
9177,Thiagarajar College of Engineering, Madurai,0,
2328,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,0,
1132,Velammal Engineering College ,0,
6176,Adhiyamaan College of Engineering (Autonomous), Hosur,0,
2314,Muthayammal College of Engineering,0,
2615,GOVERNMENT COLLEGE OF ENGINEERING, SALEM,0,
1501,Adhiparasakthi College of Engineering,0,
115,GOVERNMENT POLYTECHNIC COLLEGE  TRICHY,0,
1228,ALPHA COLLEGE OF ENGINEERING,0,
1209,Pallavan College of Engineering,0,
7208,Hindusthan Institute of Technology,0,
3461,ARIFA INSTITUTE OF TECHNOLOGY,0,
1399,CHENNAI INSTITUTE OF TECHNOLOGY,0,
790,PARAMVEER POLYTECHNIC COLLEGE,0,
2607,K.S.Rangasamy College of Technology,0,
2344,KONGU SCHOOL OF ARCHITECTURE,0,
705,Kongunadu polytechnic college, thottiam. ,0,
1452,PERI INSTITUTE OF TECHNOLOGY,0,
1516,Thanthai Periyar Government Institute of Technology, Vellore ,0,
2659,Salem college of engineering and technology ,0,
2628,Paavai college of Engineering ,Namakkal.,0,
3410,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY ,0,
519,SCAD POLYTECHNIC COLLEGE, CHERANMAHADEVI 627414,0,
569,J J polytechnic college ,0,
4971,St.Xavier's Catholic College of Engineering,0,
7302,Al ameen Engineering College (Autonomous),0,
2745,Kathir College of Engineering,0,
3843,MRK INSTITUTE OF TECHNOLOGY,0,
1518,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY ,0,
3825,St.Joseph's College of Engineering and Technology, Thanjavur ,0,
4961,NELLAI COLLEGE OF ENGINEERING,0,
2614,SSM COLLEGE OF ENGINEERING,0,
2657,Pavai College of Technology,Namakkal,0,
1116,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY ,0,
9204,Kamaraj College of Engineering and Technology ,0,
5902,Bharath Niketan Engineering College,0,
2627,Selvam College of Technology,0,
203,MURUGAPPA POLYTECHNIC COLLEGE,0,
3831,Indra Ganesan College of Engineering Trichy ,0,
4125,Sri Sairam Engineering College,0,
7339477554,MET ENGINEEEING COLLEGE,0,
2735,Karpagam Institute of Technology ,0,
408,SIGA POLYTECHNIC COLLEGE,0,
3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE ,0,
561,DUSI POLYTECHNIC COLLEGE,0,
2007,Coimbatore Institute of Technology Coimbatore,0,
3805,Dhanalakshmi Srinivasan Engineering College - Autonomous,0,
2702,Bannari Amman Institute of Technology,0,
224,ANNAMALAI POLYTECHNIC COLLEGE, CHETTINAD ,0,
2734,SNS COLLEGE OF ENGINEERING ,0,
