College Code,College Name ,Taluk,District,Pincode,College Address
1101,AALIM MUHAMMED SALEGH COLLEGE OF ENGINEERING,AVADI,CHENNAI,600055,"Muthapudupet, I.A.F"
1102,AALIM MUHAMMED SALEGH ACADEMY OF ARCHITECTURE,AVADI,CHENNAI,600055,"Nizara Educational campus, Muthapudupet, I.A.F"
1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIRUTTANI,TIRUVALLUR,631209,"Chennai - Tirupathi Highway, BKR Nagar,Perungalathur"
1104,BHAJARANG ENGINEERING COLLEGE,TIRUVALLUR,TIRUVALLUR,602024,"Ayathur, Near Veppampattu (R.S.)"
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,,CHENNAI,600052,"80,Feet Road, Edapalayam,Redhills-Thiruvallur Road, Alamathi"
1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,,TIRUVALLUR,631203,"No.1 VGR Gardens,VGR Nagar, Pandur Village and Post"
1107,J N N INSTITUTE OF ENGINEERING,Uthukottai Taluk,TIRUVALLUR,601102,"Ushaa Garden,90, Kannigaipair Village"
1108,JAYA ENGINEERING COLLEGE,,CHENNAI,602024,"C.T.H. Road,Prakash Nagar, Thiruninravur (Near Avadi)"
1109,JAYA SURIYA ENGINEERING COLLEGE,,TIRUVALLUR,600055,"Redhills-Thiruvallur High Road, Koduveli"
1110,JOHN BOSCO ENGINEERING COLLEGE,TIRUVALLUR,TIRUVALLUR,602001,Tiruvallur Railway Station
1111,JAYA INSTITUTE OF TECHNOLOGY,TIRUTTANI,TIRUVALLUR,631204,"Tiruthani - Thiruvallur NH Road, Kanchipadi Village"
1112,MAGNA COLLEGE OF ENGINEERING,,CHENNAI,600055,"Redhills - Thiruvallur High Road, Magaral"
1113,PMR ENGINEERING COLLEGE,,CHENNAI,600095,"Maduravoyal, Adayalampattu, VANAGARAM"
1114,PRATHYUSHA ENGINEERING COLLEGE,,TIRUVALLUR,602025,"Aranvoyalkuppam, Poonamallee-Thiruvallur Road"
1115,R.M.D. ENGINEERING COLLEGE,GUMMIDIPOONDI,TIRUVALLUR,601206,"R.S.M. Nagar, Kilmudalambedu, Kavaraipettai Post"
1116,R.M.K. COLLEGE OF ENGINEERING AND TECHNOLOGY,GUMMIDIPOONDI,TIRUVALLUR,601206,"R.S.M. Nagar, Puduvoyal"
1117,R.M.K. ENGINEERING COLLEGE,GUMMIDIPOONDI,TIRUVALLUR,601206,"R.S.M. Nagar, Kilmudalambedu, Kavaraipettai Post"
1118,RVS PADHMAVATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,GUMMIDIPOONDI,TIRUVALLUR,601202,"No 13,Sethilpakkam Village, Peppamarikuppam Post"
1119,S.A. ENGINEERING COLLEGE,,CHENNAI,600077,"Poonamallee - Avadi Road, Veeraraghavapuram, Thiruverkadu Post, Vanagaram"
1120,JAYA SAKTHI ENGINEERING COLLEGE,,CHENNAI,602024,"St.Marys Nagar, Thiruninravur Village and Post, Near Avadi"
1121,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY,"Uthukottai Taluk,",TIRUVALLUR,601102,"No.82, Panapakkam, Chennai-Tirupathi Road, Near Periyapalayam"
1122,SEVA RATHNA VALLAL RCK COLLEGE OF ENGINEERING,,TIRUVALLUR,601103,"Technical Campus,337/1 A Vallal RCK Nagar Vengal-Periyapalayam high road"
1123,SRI KRISHNA COLLEGE OF ENGINEERING,,VELLORE,631003,"Sri Krishna Nagar,TRS Campus,Tiruttani High Road, Arakkonam"
1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,TIRUVALLUR,TIRUVALLUR,631203,Thirupachur Village and Post
1125,SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY,TIRUVALLUR,TIRUVALLUR,631203,"Kolundhalur Village,Thirupachur Post"
1126,SRIRAM ENGINEERING COLLEGE,TIRUVALLUR,TIRUVALLUR,602024,"89 Perumalpattu,Near Veppampattu (R.S.)"
1127,ST.PETER'S COLLEGE OF ENGINEERING AND TECHNOLOGY,,CHENNAI,600054,"College Road, Avadi"
1128,T.J.S. ENGINEERING COLLEGE,GUMMIDIPOONDI,TIRUVALLUR,601206,"T.J.S Nagar, Peruvoyal,Near Kavaraipettai"
1129,VEL TECH,,CHENNAI,600062,"60, Avadi - Veltech Road, Avadi"
1130,VEL TECH HIGH TECH DR.RANGARAJAN DR.SAKUNTHALA ENGINEERING COLLEGE,,CHENNAI,600062,"60, Avadi - Alamathi Road, Vellanur, Avadi"
1131,VEL TECH MULTI TECH DR.RANGARAJAN DR.SAKUNTHALA ENGINEERING COLLEGE,,CHENNAI,600062,"42, Avadi - Alamathi Road, Vellanur, Avadi"
1132,VELAMMAL ENGINEERING COLLEGE,,CHENNAI,600066,"Velammal Nagar,Ambattur-Redhills Road, Surapet, Puzhal"
1133,VELAMMAL INSTITUTE OF TECHNOLOGY,PONNERI,TIRUVALLUR,601204,"Velammal Garden, Panchetti, Chennai-Kolkatta Highway"
1134,KUMARAN INSTITUTE OF TECHNOLOGY,,CHENNAI,601203,"Near Nandhiyyampakkam Railway Station, Minjur, Chennai"
1135,RVS PADMAVATHY SCHOOL OF ARCHITECTURE,GUMMIDIPOONDI,TIRUVALLUR,601202,"No.13, Sethilpakkam Village, PeppamariKuppam (Po)"
1136,SCHOOL OF ARCHITECTURE ST.PETER'S COLLEGE OF ENGINEERING AND TECHNOLOGY,,CHENNAI,600054,"St.Peter's College of Engineering & Technology, Avadi, Chennai"
1137,CHENNAI ACADEMY OF ARCHITECTURE AND DESIGN,,CHENNAI,601102,"No.516-2, KannigaipairChennai-Thirupathi Highway, Near Periyapalayam Amman Temple"
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,GUMMIDIPOONDI,TIRUVALLUR,601201,"51 N. Elavur58N, Natham"
1139,INTERNATIONAL MARITIME ACADEMY,,TIRUVALLUR,600124,"No. 41, Jamin Korattur, Puduchatram, Poonamallee to Tirupathi Highway Road"
1176,DEEN DAYAL ENGINEERING COLLEGE,,,,
1177,J.A. INSTITUTE OF ENGINEERING AND TECHNOLOGY,,CHENNAI,600107,"42, Srinivasa NagarKoyambedu Chennai"
1178,RAJA RAJESWARI ENGINEERING COLLEGE,,,,
1179,ST.PETER'S ENGINEERING COLLEGE,,CHENNAI,600054,"Tonakela Camp Road, Avadi, Paruttipattu Village,"
1180,VEL TECH,,CHENNAI,600062,"No:42, Avadi - Alamadhi Road, Vellanur Village and Post Ambattur"
1181,DR.M.G.R. ENGINEERING COLLEGE,,CHENNAI,602102,"No 4, Periyar EVR High Road,Maduravoyal"
1182,P.M.R. INSTITUTE OF TECHNOLOGY,,CHENNAI,600095,"Maduravoyal, Adayalampattu, Ambattur"
1201,JAYA SCHOOL OF ARCHITECTURE,,CHENNAI,600056,"Poonamallee By - Pass Road, Poonamallee"
