IONTNSDCRP280722,IoT and its Applications using Raspberry Pi
IONTNSDPCS280722,Practical Approach to Cyber Security
IONTNSDCSMA280722,Social Media and Text Analytics
IONTNSDCCS280722,Advanced Cyber Security - An Application Approach
IONTNSDCAIR280722,Artificial Intelligence for Real-World Application
IONTNSDCARD280722,Augmented Reality Development and its Applications
IONTNSDCIGD280722,Intelligent Game Design and its Applications
IONTNSDCCC280722,Applied Cloud Computing
IONTNSDCML280722,Machine Learning for Real-World Application
IONTNSDCDAR280722,Data Analytics and Reporting
IONTNSDCDMA280722,Practical Approach to Data Mining and Analytics
