TTWRDC BOATH AT ADILABAD,3101,ttwrdcboys.boath@gmail.com
TTWRDC UTNOOR,639,ttwrdcgirls.utnoor@gmail.com
S G GOVERNMENT POLYTECHNIC ADILABAD,26,sggp026@gmail.com
TSWRDC ADILABAD,51931,prl-rdcw-adb-swrs@telangana.gov.in
VAAGDEVI DEGREE COLLEGE ADB,332,rajanala.sri@gmail.com
GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC UTNOOR,526,gptutnoor@gmail.com
GOVERNMENT DEGREE COLLEGE ADILABAD 2048,2048,adilabad.jkc@gmail.com
GOVERNMENT DEGREE COLLEGE UTNOOR,388,gdc.utnoor55@gmail.com
NALANDA DEGREE COLLGE ADB,150,krismehere@gmail.com
GOVERNMENT DEGREE COLLEGE ARTS & COMMERCE ADILABAD,2049,gdcwomens.adilabad.jkc@gmail.com
TTWRDC ASIFABAD,640,ttwrdcgirls.asifabad@gmail.com
VASUNDHARA DEGREE COLLEGE,349,vasundharadc349@gmail.com
REBBANA ARTS AND SCIENCE DEGREE COLLEGE,506,rebbanadc@gmail.com
Government degree college kagaznagar,2426,gdckznr2426@gmail.com
GOVERNMENT DEGREE COLLEGE BHUPALPALLY,2425,prl-gdc-bhpl-ce@telangana.gov.in
SANGAMITRA DEGREE COLLEGE,286,smdc1234@gmail.com
TSWRDC BHUPALAPALLY,52133,prl-rdc-pdpl-swrs@telangana.gov.in
GOVERNMENT POLYTECHNIC KATARAM,167,gpt167@gmail.com
SRI CHAITANYA WOMENS DEGREE AND PG COLLEGE BHUPALPALLY,283,murthyms.moru@gmail.com
Government Degree College Mahadevpur,7008,jkcmahadevpur@gmail.com
GOVERNMENT DEGREE COLLEGE MULUGU 2160,160,wgl.jkc.mulugu@gmail.com
Government Degree College Falaknuma,1911,gdcfalaknuma@gmail.com
JAGRUTI DEGREE AND PG COLLEGE HYDERABAD,1105,placements@jagruthi.ac.in
GOVERNMENT DEGREE COLLEGE SITHAPHALMANDI,11909,gdcsitaphalmandi@gmail.com
JAHANAVI WOMENS DEGREE & PG COLLEGE 11178,1108,jahnavi.womens1234@gmail.com
JAHNAVI WOMEN\'S DEGREE & PG COLLEGE 1108,1108,jahnavi.womens123@gmail.com
STANLEY DEGREE AND PG COLLEGE FOR WOMEN 11215,1215,stanleycollegehrcmci@gmail.com
Avanthi Degree and Pg College AVNT,AVNT,PG.PLACEMENTS@AVANTHI.EDU.IN
VIVEKANANDA GOVERNMENT DEGREE COLLEGE,1244,svsvidyanagar.ejkc@gmail.com
BJR GOVERNMENT DEGREE COLLEGE,1070,bjrnampally.ejkc@gmail.com
GOVERNMENT DEGREE COLLEGE CHANCHALGUDA,11910,chanchalguda.gdc@gmail.com
VIJAYANAGAR COLLEGE OF COMMERCE 11234,1234,vncc_1973@live.in
PRIYANKA DEGREE COLLEGE FOR WOMEN,1162,priyanka.wcollege@gmail.com
ST JOSEPHS DEGREE COLLEGE FOR WOMEN TOLICHOWKI,1256,shagbanu.11@gmail.com
Government City College,11084,citycollegehyd@gmail.com
PRAGATHI MAHAVIDYALAYA DEGREE AND PG COLLEGE 11157,1157,info@pragatimahavidyalaya.in
AVANTHI DEGREE AND PG COLLEGE,1059,aleemplacements@avanthi.edu.in
BANKATLAL BADRUKA COLLEGE FOR INFORMATION TECHNOLOGY,1066,bbcitmca@yahoo.com
ST PAULS DEGREE AND PG COLLEGE,1211,stpaulsdgchyd@gmail.com
SAROJINI NAIDU VANITA PHARMACY MAHA VIDYALAYA,1704,snvpmv_2006@rediffmail.com
SIDDHARTHA DEGREE COLLEGE FOR WOMEN,1187,gp.sdcw@gmail.com
NAWAB SHAH ALAM KHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,RT,nsakcet.placement@gmail.com
ST JOSEPHS DEGREE COLLEGE TOLICHOWKI,2033,st22109@gmail.com
G NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE FOR WOMEN,25,tpognits@gmail.com
JAHANAVI DEGREE COLLEGE 11107,11107,jahnavi.principal@gmail.com
ST JOSEPH DEGREE AND PG COLLEGE 11214,11214,placements@josephspgcollege.ac.in
ACME DEGREE COLLEGE 11055,11055,acmedegreecollege@gmail.com
GOVERNMENT DEGREE COLLEGE FOR WOMEN BEGUMPET HYDERABAD,11085,gdcwbpthyd@gmail.com
GOVERNMENT DEGREE COLLEGE FOR WOMEN GOLCONDA 11908,1908,gdcgolconda@gmail.com
DECCAN SCHOOL OF PHARMACY,1707,deccansmailbox@rediffmail.com
