code,roll_no
('1101', '110118103001')
('1101', '110118103002')
('1101', '110118103003')
('1101', '110118103004')
('1101', '110118103005')
('1101', '110118103006')
('1101', '110118103007')
('1101', '110118103008')
('1101', '110118103009')
('1101', '110118103010')
('1101', '110118103011')
('1101', '110118103012')
('1101', '110118103013')
('1101', '110118103014')
('1101', '110118103016')
('1101', '110118103018')
('1101', '110118103019')
('1101', '110118103020')
('1101', '110118103021')
('1101', '110118103302')
('1101', '110118103303')
('1101', '110118103304')
('1101', '110118104001')
('1101', '110118104002')
('1101', '110118104003')
('1101', '110118104004')
('1101', '110118104005')
('1101', '110118104006')
('1101', '110118104007')
('1101', '110118104009')
('1101', '110118104011')
('1101', '110118104012')
('1101', '110118104013')
('1101', '110118104014')
('1101', '110118104015')
('1101', '110118104016')
('1101', '110118104017')
('1101', '110118104018')
('1101', '110118104019')
('1101', '110118104021')
('1101', '110118104022')
('1101', '110118104023')
('1101', '110118104024')
('1101', '110118104025')
('1101', '110118104026')
('1101', '110118104027')
('1101', '110118104028')
('1101', '110118104030')
('1101', '110118104031')
('1101', '110118104032')
('1101', '110118104033')
('1101', '110118104034')
('1101', '110118104035')
('1101', '110118104036')
('1101', '110118104037')
('1101', '110118104038')
('1101', '110118104039')
('1101', '110118104040')
('1101', '110118104041')
('1101', '110118104042')
('1101', '110118104043')
('1101', '110118104044')
('1101', '110118104046')
('1101', '110118104047')
('1101', '110118104048')
('1101', '110118104049')
('1101', '110118104050')
('1101', '110118104051')
('1101', '110118104052')
('1101', '110118104053')
('1101', '110118104054')
('1101', '110118104055')
('1101', '110118104057')
('1101', '110118104058')
('1101', '110118104059')
('1101', '110118104061')
('1101', '110118104062')
('1101', '110118104063')
('1101', '110118104064')
('1101', '110118104301')
('1101', '110118104701')
('1101', '110118104701')
('1101', '110118104702')
('1101', '110118104702')
('1101', '110118104703')
('1101', '110118104703')
('1101', '110118104704')
('1101', '110118104704')
('1101', '110118105001')
('1101', '110118105003')
('1101', '110118105004')
('1101', '110118105005')
('1101', '110118105006')
('1101', '110118105007')
('1101', '110118105008')
('1101', '110118105009')
('1101', '110118105011')
('1101', '110118105012')
('1101', '110118105013')
('1101', '110118105014')
('1101', '110118105015')
('1101', '110118105016')
('1101', '110118105017')
('1101', '110118105018')
('1101', '110118105019')
('1101', '110118105020')
('1101', '110118105021')
('1101', '110118105022')
('1101', '110118105023')
('1101', '110118105024')
('1101', '110118105301')
('1101', '110118105302')
('1101', '110118105303')
('1101', '110118105304')
('1101', '110118105305')
('1101', '110118106001')
('1101', '110118106003')
('1101', '110118106004')
('1101', '110118106005')
('1101', '110118106006')
('1101', '110118106007')
('1101', '110118106008')
('1101', '110118106009')
('1101', '110118106010')
('1101', '110118106011')
('1101', '110118106012')
('1101', '110118106013')
('1101', '110118106014')
('1101', '110118106015')
('1101', '110118106016')
('1101', '110118106017')
('1101', '110118106019')
('1101', '110118106020')
('1101', '110118106021')
('1101', '110118106022')
('1101', '110118106023')
('1101', '110118106024')
('1101', '110118106025')
('1101', '110118106026')
('1101', '110118106027')
('1101', '110118106028')
('1101', '110118106029')
('1101', '110118106030')
('1101', '110118106301')
('1101', '110118106302')
('1101', '110118106303')
('1101', '110118106305')
('1101', '110118106306')
('1101', '110119114308')
('1101', '110118114002')
('1101', '110118114003')
('1101', '110118114004')
('1101', '110118114006')
('1101', '110118114007')
('1101', '110118114008')
('1101', '110118114009')
('1101', '110118114010')
('1101', '110118114012')
('1101', '110118114013')
('1101', '110118114014')
('1101', '110118114015')
('1101', '110118114017')
('1101', '110118114018')
('1101', '110118114021')
('1101', '110118114022')
('1101', '110118114023')
('1101', '110118114024')
('1101', '110118114025')
('1101', '110118114026')
('1101', '110118114027')
('1101', '110118114028')
('1101', '110118114029')
('1101', '110118114030')
('1101', '110118114031')
('1101', '110118114032')
('1101', '110118114034')
('1101', '110118114037')
('1101', '110118114038')
('1101', '110118114039')
('1101', '110118114040')
('1101', '110118114041')
('1101', '110118114042')
('1101', '110118114043')
('1101', '110118114044')
('1101', '110118114045')
('1101', '110118114046')
('1101', '110118114047')
('1101', '110118114048')
('1101', '110118114049')
('1101', '110118114051')
('1101', '110118114053')
('1101', '110118114054')
('1101', '110118114055')
('1101', '110118114056')
('1101', '110118114057')
('1101', '110118114058')
('1101', '110118114059')
('1101', '110118114301')
('1101', '110118114302')
('1101', '110118114303')
('1101', '110118114304')
('1101', '110118114305')
('1101', '110118114306')
('1101', '110118114307')
('1101', '110118114308')
('1101', '110118114309')
('1101', '110118114310')
('1101', '110118114311')
('1101', '110118114312')
('1101', '110118114701')
('1101', '110118114701')
('1101', '110118205001')
('1101', '110118205002')
('1101', '110118205004')
('1101', '110118205005')
('1101', '110118205007')
('1101', '110118205008')
('1101', '110118205009')
('1101', '110118205010')
('1101', '110118205011')
('1101', '110118205012')
('1101', '110118205013')
('1101', '110118205014')
('1101', '110118205015')
('1101', '110118205302')
('1102', '110218251001')
('1102', '110218251002')
('1102', '110218251003')
('1102', '110218251004')
('1102', '110218251005')
('1102', '110218251007')
('1102', '110218251008')
('1102', '110218251009')
('1102', '110218251010')
('1102', '110218251011')
('1102', '110218251012')
('1102', '110218251013')
('1102', '110218251014')
('1102', '110218251015')
('1102', '110218251016')
('1102', '110218251017')
('1102', '110218251018')
('1102', '110218251019')
('1102', '110218251020')
('1102', '110218251021')
('1102', '110218251022')
('1102', '110218251023')
('1102', '110218251024')
('1102', '110218251025')
('1102', '110218251026')
('1102', '110218251027')
('1102', '110218251028')
('1102', '110218251029')
('1102', '110218251032')
('1102', '110218251033')
('1102', '110218251034')
('1102', '110218251035')
('1102', '110218251036')
('1102', '110218251037')
('1102', '110218251038')
('1102', '110218251039')
('1102', '110218251040')
('1102', '110218251041')
('1102', '110218251042')
('1102', '110218251043')
('1102', '110218251044')
('1102', '110218251045')
('1102', '110218251046')
('1102', '110218251047')
('1102', '110218251048')
('1102', '110218251049')
('1102', '110218251050')
('1102', '110218251052')
('1102', '110218251053')
('1102', '110218251054')
('1102', '110218251055')
('1102', '110218251056')
('1102', '110218251057')
('1102', '110218251058')
('1102', '110218251059')
('1102', '110218251060')
('1102', '110218251061')
('1102', '110218251062')
('1102', '110218251063')
('1102', '110218251064')
('1102', '110218251065')
('1102', '110218251067')
('1102', '110218251068')
('1102', '110218251069')
('1102', '110218251701')
('1102', '110218251701')
('1102', '110218251702')
('1102', '110218251703')
('1102', '110217251001')
('1102', '110217251002')
('1102', '110217251003')
('1102', '110217251004')
('1102', '110217251005')
('1102', '110217251008')
('1102', '110217251009')
('1102', '110217251010')
('1102', '110217251011')
('1102', '110217251012')
('1102', '110217251013')
('1102', '110217251014')
('1102', '110217251015')
('1102', '110217251016')
('1102', '110217251017')
('1102', '110217251018')
('1102', '110217251019')
('1102', '110217251020')
('1102', '110217251021')
('1102', '110217251022')
('1102', '110217251023')
('1102', '110217251024')
('1102', '110217251025')
('1102', '110217251026')
('1102', '110217251027')
('1102', '110217251028')
('1102', '110217251029')
('1102', '110217251030')
('1102', '110217251031')
('1102', '110217251032')
('1102', '110217251033')
('1102', '110217251034')
('1102', '110217251036')
('1102', '110217251037')
('1102', '110217251039')
('1102', '110217251040')
('1102', '110217251041')
('1102', '110217251042')
('1102', '110217251043')
('1102', '110217251044')
('1102', '110217251045')
('1102', '110217251046')
('1102', '110217251047')
('1102', '110217251048')
('1102', '110217251049')
('1102', '110217251051')
('1102', '110217251052')
('1102', '110217251053')
('1102', '110217251054')
('1102', '110217251056')
('1102', '110217251057')
('1102', '110217251058')
('1102', '110217251060')
('1102', '110217251061')
('1102', '110217251062')
('1102', '110217251063')
('1102', '110217251064')
('1102', '110217251065')
('1102', '110217251066')
('1102', '110217251067')
('1102', '110217251068')
('1102', '110217251069')
('1102', '110217251070')
('1102', '110217251071')
('1102', '110217251501')
('1102', '110217251701')
('1102', '110217251701')
('1103', '110318103001')
('1103', '110318103002')
('1103', '110318103003')
('1103', '110318103004')
('1103', '110318103005')
('1103', '110318103006')
('1103', '110318103301')
('1103', '110318103302')
('1103', '110318104001')
('1103', '110318104002')
('1103', '110318104003')
('1103', '110318104004')
('1103', '110318104005')
('1103', '110318104006')
('1103', '110318104007')
('1103', '110318104008')
('1103', '110318104009')
('1103', '110318104010')
('1103', '110318104011')
('1103', '110318104012')
('1103', '110318104013')
('1103', '110318104014')
('1103', '110318104015')
('1103', '110318104016')
('1103', '110318104017')
('1103', '110318104018')
('1103', '110318104019')
('1103', '110318104020')
('1103', '110318104022')
('1103', '110318104023')
('1103', '110318104024')
('1103', '110318104025')
('1103', '110318104026')
('1103', '110318104028')
('1103', '110318104029')
('1103', '110318104030')
('1103', '110318104031')
('1103', '110318104032')
('1103', '110318104033')
('1103', '110318104034')
('1103', '110318104035')
('1103', '110318104036')
('1103', '110318104037')
('1103', '110318104040')
('1103', '110318104041')
('1103', '110318104042')
('1103', '110318104043')
('1103', '110318104044')
('1103', '110318104301')
('1103', '110318105001')
('1103', '110318105002')
('1103', '110318105003')
('1103', '110318105005')
('1103', '110318105006')
('1103', '110318105007')
('1103', '110318105009')
('1103', '110318105011')
('1103', '110318105012')
('1103', '110318105013')
('1103', '110318105014')
('1103', '110318105301')
('1103', '110318105302')
('1103', '110318106001')
('1103', '110318106002')
('1103', '110318106004')
('1103', '110318106005')
('1103', '110318106006')
('1103', '110318106007')
('1103', '110318106008')
('1103', '110318106009')
('1103', '110318106010')
('1103', '110318106011')
('1103', '110318106012')
('1103', '110318106013')
('1103', '110318106014')
('1103', '110318106015')
('1103', '110318106016')
('1103', '110318106017')
('1103', '110318106018')
('1103', '110318106019')
('1103', '110318106020')
('1103', '110318106021')
('1103', '110318106022')
('1103', '110318106024')
('1103', '110318106025')
('1103', '110318106026')
('1103', '110318106027')
('1103', '110318106028')
('1103', '110318106029')
('1103', '110318106030')
('1103', '110318106031')
('1103', '110318106032')
('1103', '110318106033')
('1103', '110318106034')
('1103', '110318106035')
('1103', '110318106036')
('1103', '110318106037')
('1103', '110318106038')
('1103', '110318106039')
('1103', '110318106040')
('1103', '110318106041')
('1103', '110318106042')
('1103', '110318106043')
('1103', '110318106044')
('1103', '110318106045')
('1103', '110318106047')
('1103', '110318106048')
('1103', '110318106049')
('1103', '110318106050')
('1103', '110318106301')
('1103', '110318106701')
('1103', '110318106702')
('1103', '110318114001')
('1103', '110318114002')
('1103', '110318114003')
('1103', '110318114004')
('1103', '110318114005')
('1103', '110318114006')
('1103', '110318114007')
('1103', '110318114008')
('1103', '110318114009')
('1103', '110318114010')
('1103', '110318114011')
('1103', '110318114012')
('1103', '110318114014')
('1103', '110318114015')
('1103', '110318114016')
('1103', '110318114019')
('1103', '110318114020')
('1103', '110318114021')
('1103', '110318114023')
('1103', '110318114024')
('1103', '110318114025')
('1103', '110318114028')
('1103', '110318114029')
('1103', '110318114030')
('1103', '110318114031')
('1103', '110318114033')
('1103', '110318114034')
('1103', '110318114035')
('1103', '110318114036')
('1103', '110318114037')
('1103', '110318114038')
('1103', '110318114039')
('1103', '110318114042')
('1103', '110318114044')
('1103', '110318114301')
('1103', '110318114302')
('1103', '110318114303')
('1103', '110318114304')
('1103', '110318114305')
('1103', '110318114306')
('1103', '110318114307')
('1103', '110318114308')
('1103', '110318114309')
('1103', '110318114310')
('1103', '110318114311')
('1103', '110318121001')
('1103', '110318121002')
('1103', '110318121003')
('1103', '110318121004')
('1103', '110318121005')
('1103', '110318121006')
('1103', '110318121007')
('1103', '110318121010')
('1103', '110318121011')
('1103', '110318121012')
('1103', '110318121013')
('1103', '110318121014')
('1103', '110318121015')
('1103', '110318121016')
('1103', '110318121017')
('1103', '110318121018')
('1103', '110318121019')
('1103', '110318121021')
('1103', '110318121022')
('1103', '110318121023')
('1103', '110318121024')
('1103', '110318121025')
('1103', '110318121026')
('1103', '110318121027')
('1103', '110318121028')
('1103', '110318121029')
('1103', '110318121031')
('1103', '110318121032')
('1103', '110318121033')
('1103', '110318121034')
('1103', '110318121035')
('1103', '110318121036')
('1103', '110318121037')
('1103', '110318121038')
('1103', '110318121039')
('1103', '110318121042')
('1103', '110321631001')
('1103', '110321631002')
('1103', '110321631003')
('1103', '110321631004')
('1103', '110321631005')
('1103', '110321631006')
('1103', '110321631007')
('1103', '110321631008')
('1103', '110321631009')
('1103', '110321631010')
('1103', '110321631011')
('1103', '110321631012')
('1103', '110321631013')
('1103', '110321631014')
('1103', '110321631015')
('1103', '110321631016')
('1103', '110321631017')
('1103', '110321631018')
('1103', '110321631019')
('1103', '110321631020')
('1103', '110321631021')
('1103', '110321631022')
('1103', '110321631023')
('1103', '110321631024')
('1103', '110321631025')
('1103', '110321631026')
('1103', '110321631027')
('1103', '110321631028')
('1103', '110321631029')
('1103', '110321631030')
('1103', '110321631031')
('1103', '110321631032')
('1103', '110321631033')
('1103', '110321631034')
('1103', '110321631035')
('1103', '110321631036')
('1103', '110321631037')
('1103', '110321631038')
('1103', '110321631039')
('1103', '110321631040')
('1103', '110321631041')
('1103', '110321631042')
('1103', '110321631043')
('1103', '110321631044')
('1103', '110321631045')
('1103', '110321631046')
('1103', '110321631047')
('1103', '110321631048')
('1103', '110321631049')
('1103', '110321631050')
('1103', '110321631051')
('1103', '110321631052')
('1103', '110321631054')
('1103', '110321631055')
('1103', '110321631056')
('1103', '110321631057')
('1103', '110321631058')
('1103', '110321631060')
('1103', '110320631001')
('1103', '110320631002')
('1103', '110320631003')
('1103', '110320631004')
('1103', '110320631005')
('1103', '110320631006')
('1103', '110320631007')
('1103', '110320631008')
('1103', '110320631009')
('1103', '110320631010')
('1103', '110320631011')
('1103', '110320631012')
('1103', '110320631013')
('1103', '110320631014')
('1103', '110320631015')
('1103', '110320631016')
('1103', '110320631017')
('1103', '110320631018')
('1103', '110320631019')
('1103', '110320631020')
('1103', '110320631021')
('1103', '110320631022')
('1103', '110320631023')
('1103', '110320631024')
('1103', '110320631025')
('1103', '110320631026')
('1103', '110320631027')
('1103', '110320631028')
('1103', '110320631029')
('1103', '110320631030')
('1103', '110320631032')
('1103', '110320631033')
('1103', '110320631034')
('1103', '110320631035')
('1103', '110320631037')
('1103', '110320631039')
('1103', '110320631040')
('1103', '110320631041')
('1103', '110320631042')
('1103', '110320631043')
('1103', '110320631044')
('1103', '110320631045')
('1103', '110320631046')
('1103', '110320631047')
('1103', '110320631048')
('1105', '110518101001')
('1105', '110518101003')
('1105', '110518101004')
('1105', '110518101005')
('1105', '110518101006')
('1105', '110518101007')
('1105', '110518101009')
('1105', '110518101010')
('1105', '110518101011')
('1105', '110518101012')
('1105', '110518101013')
('1105', '110518101014')
('1105', '110518101015')
('1105', '110518101016')
('1105', '110518101017')
('1105', '110518101018')
('1105', '110518101019')
('1105', '110518101020')
('1105', '110518101021')
('1105', '110518101022')
('1105', '110518101023')
('1105', '110518101024')
('1105', '110518101025')
('1105', '110518101026')
('1105', '110518101027')
('1105', '110518101028')
('1105', '110518101029')
('1105', '110518103301')
('1105', '110518103304')
('1105', '110518103306')
('1105', '110518104001')
('1105', '110518104002')
('1105', '110518104003')
('1105', '110518104004')
('1105', '110518104005')
('1105', '110518104006')
('1105', '110518104007')
('1105', '110518104008')
('1105', '110518104010')
('1105', '110518104011')
('1105', '110518104012')
('1105', '110518104013')
('1105', '110518104014')
('1105', '110518104015')
('1105', '110518104016')
('1105', '110518104018')
('1105', '110518104019')
('1105', '110518104021')
('1105', '110518104022')
('1105', '110518104023')
('1105', '110518104024')
('1105', '110518104025')
('1105', '110518104026')
('1105', '110518104028')
('1105', '110518104029')
('1105', '110518104030')
('1105', '110518104031')
('1105', '110518104033')
('1105', '110518104034')
('1105', '110518104035')
('1105', '110518104036')
('1105', '110518104037')
('1105', '110518104039')
('1105', '110518104040')
('1105', '110518104041')
('1105', '110518104043')
('1105', '110518104044')
('1105', '110518104045')
('1105', '110518104046')
('1105', '110518104047')
('1105', '110518104048')
('1105', '110518104049')
('1105', '110518104050')
('1105', '110518104051')
('1105', '110518104053')
('1105', '110518104054')
('1105', '110518104055')
('1105', '110518104056')
('1105', '110518104060')
('1105', '110518104062')
('1105', '110518104063')
('1105', '110518104064')
('1105', '110518104065')
('1105', '110518104066')
('1105', '110518104301')
('1105', '110518105001')
('1105', '110518105002')
('1105', '110518105004')
('1105', '110518105005')
('1105', '110518105006')
('1105', '110518105007')
('1105', '110518105008')
('1105', '110518105010')
('1105', '110518105303')
('1105', '110518105305')
('1105', '110518105306')
